ID	QUESTION	ANSWER	CHOICES	LLM_Answers
149	सूर्यपर्णी कस्य पर्यायः?	मुद्गपर्णी	शालपर्णी / पृष्णिपर्णी / मुद्गपर्णी / माषपर्णी	शालपर्णी; माषपर्णी; पृष्णिपर्णी; उत्तरम् पृष्णिपर्ण्याः; काकपर्णी; question सूर्यपर्णी कस्य पर्यायः choices शालपर्णी  पृष्णिपर्णी  मुद्गपर्णी  माषपर्णी; मुद्गपर्णी
150	भावप्रकाशे निम्नेषु द्रव्येषु किं द्रव्यं जीवनीयगणस्य घटकः न? 	कश्चन 	माषपर्णी / मुद्गपर्णी / यष्टिमधु / कश्चन 	"उत्तरम् कश्चन

कारणम् माषपर्णी मुद्गपर्णी यष्टिमधु  एतानि त्रीणि द्रव्याणि जीवनीयगणस्य घटकाः सन्ति कश्चन शब्दः केवलं विकल्पार्थं दत्तः न तु कस्यचिद् द्रव्यस्य नाम अतः कश्चन एव जीवनीयगणस्य घटकः न भवति; question भावप्रकाशे निम्नेषु द्रव्येषु किं द्रव्यं जीवनीयगणस्य घटकः न  choices माषपर्णी  मुद्गपर्णी  यष्टिमधु  क; यष्टिमधु; यष्टिमधु

जीवनीयगणस्य घटकाः माषपर्णी मुद्गपर्णी जीवन्ती मेदा महामेदा; यष्टिमधु

जीवनीयगणे माषपर्णी मुद्गपर्णी इत्यादीनि द्रव्याणि सन्ति यष्टि; कश्चन  कश्चन धातुद्रव्यम् अस्ति जीवनीयगणस्य न; माषपर्णी मुद्गपर्णी यष्टिमधु  एतानि त्रीणि द्रव्याणि जीवनीयगणस्य घटकानि सन; माषपर्णी; कश्चन; कश्चन 

कश्चनं धातुद्रव्यम् अस्ति जीवनीयद्रव्यं न; कश्चन 

कश्चन अपि शाकः न; मुद्गपर्णी"
152	सप्तविध-वृद्धिं किं द्रव्यं अपाकरोति?	एरण्डः	एरण्डः / स्नुही / रास्ना / शाल्लकी	"एरण्डः 

एरण्डतैलं सप्तविधधातुवृद्धिं अपाकरोति; शाल्लकी; रास्ना; उत्तरम् एरण्डः; स्नुही; एरण्डः"
158	किं द्रव्यं मूषकविषनाशकम् अस्ति? 	महानिम्बः	अर्कः / निम्बः / भल्लातकः / महानिम्बः	भल्लातकः; निम्बः; अङ्कोटः; अङ्कोटकः; भल्लातकः  भल्लातकस्य विषहारकगुणाः प्रसिद्धाः; महानिम्बः; उत्तरम् अर्कः; अर्कः
164	करंजभेदः कः ? 	कण्टक-करञ्जः ; घृत-करञ्जः	वल्ली-करञ्जः / कण्टक-करञ्जः / घृत-करञ्जः	"question करंजभेदः कः   answer वल्लीकरञ्जः  कण्टककरञ्जः  घृतकरञ्जः; वल्लीकरञ्जः

रामायणे करंजभेदः वल्लीकरञ्जः एव उल्लिखितः अयं वृक्षः किष्किन्; वल्लीकरञ्जः; उत्तरम् कण्टककरञ्जः; क्षमस्व दत्तेषु सन्दर्भेषु करञ्जभेदविषये स्पष्टं विवरणं नास्ति अतः प्रश्नस; करंजभेदः घृतकरञ्जः

रामायणे उल्लिखितः करंजभेदः घृतकरञ्जः इति प्रसिद्धः अयं; question करंजभेदः कः   answers वल्लीकरञ्जः  कण्टककरञ्जः  घृतकरञ्जः; अत्र प्रश्नस्य उत्तरं दातुं न शक्नोमि कारणं यत् दत्तेषु सन्दर्भेषु करञ्जभेद; घृतकरञ्जः; question करंजभेदः कः   answer वल्लीकरञ्जः  कण्टककरञ्जः  घृतकरञ्जः question करंजभेदः कः   answer ; वल्लीकरञ्जः 

करञ्जः लतायां वर्धते अतः वल्लीकरञ्जः; कण्टककरञ्जः"
168	बलाचतुष्टयस्य द्रव्याः के? 	(बला + महाबला + अतिबला + नागबला) ; (बरियारा + सहदेवी + ककहिया + गुलशकरी)	बला + महाबला + अतिबला + नागबला / बरियारा + सहदेवी + ककहिया + गुलशकरी / बला + सहदेवी + महाबला + ऋष्यप्रोक्ता	"बला  महाबला  अतिबला  नागबला; बला  अतिबला  महाबला  नागबला 

एताः द्रव्याणि बलाचतुष्टयस्य; बलासहदेवीमहाबलाऋष्यप्रोक्ताः; उत्तरम् बला  महाबला  अतिबला  नागबला; बला  महाबला  अतिबला  नागबला

एतानि चत्वारि बलाचतुष्टयस्य द्रव्याणि सन्ति एतेषां संस्; बला  महाबला  अतिबला  नागबला

एतानि चत्वारि बलाचतुष्टयस्य द्रव्याणि सन्ति एतानि आयुर; बला सहदेवी महाबला ऋष्यप्रोक्ता च 

बलाचतुष्टयं  ऋष्यमुनिना  सृष्टम्; बलामहाबलाअतिबलानागबला; बला  सहदेवी  महाबला  ऋष्यप्रोक्ता; बला अतिबला महाबला ऋष्यप्रोक्ता

एताः राक्षसराजस्य कुम्भकर्णस्य पुत्र्यः आसन्; ऋष्यप्रोक्ता; बला  महाबला  अतिबला  नागबला

एताः चतस्रः वनस्पतयः बलाचतुष्टयस्य द्रव्याः सन्ति एता"
171	दर्भद्वये के द्रव्ये स्तः?	कुश-क्षुरपत्रम्	कुश-काशः / नल-दर्भः / कुश-इक्षुः / कुश-क्षुरपत्रम्	"कुशकाशः 

दर्भद्वयं कुशः काशश्च इति; कुशकाशः 

दर्भद्वयं कुशकाषयोः निर्मितं भवति; कुशक्षुरपत्रम्; उत्तरम् कुशकाशः; कुशकाशः

कथम्  दर्भद्वयं कुशकाशौ  इति  प्रसिद्धम्; question दर्भद्वये के द्रव्ये स्तः answer कुशकाशः analysis दर्भद्वये के द्रव्ये स्तः कुशकाशः इति reasoning दर्भ; कुशकाशः"
172	स्वादुकन्दा इति कस्य पर्यायः?	विदारीकन्दः	वराहीकन्दः / विदारीकन्दः / सूरणकन्दः / मुशलीकन्दः	सूरणकन्दः; उत्तरम् विदारीकन्दः; स्वादुकन्दा इति सूरणकन्दस्य पर्यायः; वराहीकन्दः; विदारीकन्दः; मुशलीकन्दः; स्वादुकन्दा इति सूरणकन्दस्य पर्यायः अस्ति
181	क्षीरीवृक्षपञ्चके किं द्रव्यं न अस्ति ? 	शिरीषः	शिरीषः / पारीषः / प्लक्षः / उदुम्बरः	"शिरीषः

क्षीरीवृक्षपञ्चके शिरीषः न अन्तर्भवति क्षीरीवृक्षपञ्चकं नाम न्; शिरीषः; शिरीषः 

न अस्ति इति कथनं युक्तम्  क्षीरीवृक्षपञ्चके प्लक्षः वटः अश्वत्थः उदुम्बरः तथा न्यग्रोधः इति पञ्च; पारीषः; question क्षीरीवृक्षपञ्चके किं द्रव्यं न अस्ति   choices शिरीषः  पारीषः  प्लक्षः  उदुम्बरः; उदुम्बरः; शिरीषः नास्ति; शिरीषः न अस्ति 

कारणम्   पञ्चवट्यां शिरीषवृक्षस्य  अभावः उल्लिखितः; प्लक्षः; उत्तरम् शिरीषे

क्षीरीवृक्षपञ्चके शिरीषः न अन्तर्भवति पारीषः प्लक्षः उदुम्बरः च क्षीरीवृक्षपञ्चकस्य अंशाः सन्ति परन्तु शिरीषः नास्ति"
182	न्यग्रोधः उदुम्बरः पिप्पलम् पारीषः प्लक्षश्च सङ्कलितं किं कथ्यते?	पञ्चवल्कलम् ; पञ्चक्षीरी	पञ्चवल्कलम् / पञ्चक्षीरी / पञ्चमूलम्	"पञ्चवृक्षम्; पञ्चवल्कलम् 

एतेषां वृक्षाणां वल्कलानि औषधत्वेन प्रयुज्यन्ते; पञ्चवल्कलम्; पञ्चवल्कलम् 

यतो हि तैः वृक्षैः वल्कलानि यज्ञोपवीतनिर्माणाय उद्यस्यन्ते; पञ्चक्षीरी; पञ्चवटी"
183	अर्जुनः कस्मिन् वर्गे वर्ण्यते?	वटादिवर्गे	आम्रादिवर्गे / वटादिवर्गे / हरीतक्यादिवर्गे / गुडूच्यादिवर्गे	"question अर्जुनः कस्मिन् वर्गे वर्ण्यते answer वटादिवर्गे question अर्जुनः कस्मिन् वर्गे वर्ण्यते answer वटादिवर्ग; आम्रादिवर्गे 

यतः स फलवान् दीर्घायुषी रमणीयश्च आसीत्; हरीतक्यादिवर्गे 

यतोऽर्जुनः स्थूलत्वेन न लक्ष्यते; वटादिवर्गे; उत्तरम् वटादिवर्गे; question अर्जुनः कस्मिन् वर्गे वर्ण्यते answer आम्रादिवर्गे question अर्जुनः कस्मिन् वर्गे वर्ण्यते answer आम्राद; आम्रादिवर्गे; हरीतक्यादिवर्गे; गुडूच्यादिवर्गे"
185	क्षारश्रेष्ठः इति कस्य पर्यायः?	पलाशः 	अपामार्गः / पलाशः / टङ्कणः / सर्जकः	"टङ्कणः; समुद्रः 

समुद्रः एव क्षारजलपूर्णः इति हेतोः क्षारश्रेष्ठः इति कथ्यते ; समुद्रः 

यतः क्षारं तत्र श्रेष्ठम्; मोक्षकः; पलाशः; समुद्रः

समुद्रः एव क्षारजलसम्भूतोऽस्ति; मोक्षः; उत्तरम् टङ्कणः; अपामार्गः"
189	आम्रातियोगात् उत्पन्नानां दोषाणां निवारणचिकित्सा का?	शुण्ठी + जलम् ; सौवर्चललवणम् + जीरकम्	शुण्ठी + जलम् / सौवर्चललवणम् + जीरकम् / मधुयष्टी + मधु + घृतम्	"शुण्ठी  जलम्  सौवर्चललवणम्  जीरकम्; शुण्ठीजलम्; मधुयष्टी  मधु  घृतम्; आम्रातियोगात् उत्पन्नानां दोषाणां निवारणचिकित्सा इयम्

1 शुण्ठी  जलम् शुण्ठी; सौवर्चललवणम्  जीरकम्; मधुयष्टी  मधु  घृतम्

कथम् आम्रस्य च मधुररसस्य च विरुद्धत्वात् तज्जनितदोषनिवारणाय मधुररसप्रधानम् ए; शुण्ठ्या सह जलेन; आम्रातियोगात् उत्पन्नानां दोषाणां निवारणचिकित्सा एवम्

1 शुण्ठी  जलम् पाचनशक्; आम्रातियोगात् उत्पन्नानां दोषाणां निवारणचिकित्सा शुण्ठी  जलम्  सौवर्चललवणम्  जीरकम्  मधुयष्टी  मधु  घृतम; मधुयष्टी; शुण्ठ्यम्भः; शुण्ठी  जलम्; मधुयष्टी  मधु  घृतम्   कफदोषशमनात्; आम्रातियोगात् उत्पन्नानां दोषाणां निवारणचिकित्सा एवम् भवति

1 शुण्ठी  जलम् शुण्; मधुयष्टी  मधु  घृतम् 

आम्रस्य शीतवीर्यत्वात् तेन पित्तकफवृद्धिर्भवति मधुयष्ट्यादयस्तु उष्णवीर्याः पित्तकफश"
191	गुल्मिभिः मन्दवह्निभिः च विशेषेण किं वर्ज्यम्?	पनसः	पनसः / आम्रः / लकुचः / कदली	"पनसः

गुल्मिभिः मन्दवह्निभिः च विशेषेण पनसः वर्ज्यः पनसफलं गुरु भवति अतः प; कदली 

कफकारकत्वात् कदली गुल्मिभिः मन्दवह्निभिः च न शस्यते; कदली 

कफकारकत्वात् कदली गुल्मिभिः मन्दवह्निभिः च वर्ज्या; लकुचः; गुल्मिभिः मन्दवह्निभिः च विशेषेण पनसः वर्ज्यम्; उत्तरम् पनसः

गुल्मिभिः मन्दवह्निभिः च विशेषेण पनसः वर्ज्यः पनसः गुरुपाकी विदाही च भवति अतः गुल्मरोगिणां मन्दाग्निभाजां च कृते अहितकरः; आम्रः; पनसः; पनसः

गुल्मिभिः मधुमेहरोगिभिः मन्दवह्निभिः मन्दाग्निरोगिभिः च विशेषे; पललम् 

गुल्मवर्धनशीलत्वात् पनसः वर्ज्यम्; कदली"
197	बहुलवल्कलः कस्य पर्यायः अस्ति?	प्रियालः	प्रियालः / खदिरः / भूर्जपत्रम्	"भूर्जपत्रम्  बहुलवल्कलः वृक्षस्य छालं सूचयति यथा भूर्जपत्रम्; भूर्जपत्रम्; प्रियालः; भूर्जपत्रम्  बहुलवल्कलः इति भूर्जवृक्षस्य पर्यायः अस्ति; उत्तरम् भूर्जपत्रम्

भूर्जपत्रम् एव बहुलवल्कलस्य पर्यायः अस्ति भूर्जवृक्षस्य त्वक् बहुस्तरीया भवति अतः तस्य बहुलवल्कल इति नाम साधु प्रयुज्यते; खदिरः"
198	गर्भसंस्थापकं परम् इति कस्य वर्णनम् अस्ति?	पद्माक्षः	पद्माक्षः / अरिष्ठकः / लक्ष्मणा / पुत्रजीवकः	"पुत्रजीवकः

गर्भरक्षणार्थम् हनुमन्तः लङ्कातः आनीतवान्; अरिष्ठकः  रावणस्य शापात्; गर्भसंस्थापकं परम् इति पद्माक्षस्य वर्णनम् अस्ति; उत्तरम् पुत्रजीवकस्य; पद्माक्षः; लक्ष्मणा; अरिष्ठकः 

गर्भसंस्थापनस्य कारणात्; अरिष्ठकः; पुत्रजीवकः"
199	जलफलः इति कस्य पर्यायः?	श्रृङ्गाटकः	नारिकेलः / खर्बूजः / श्रृङ्गाटकः / कालिन्दः	"नारिकेलः; शृङ्गाटकः; श्रृङ्गाटकः; कालिन्दः; नारिकेलः 

नारिकेलस्य आवरणं जले भवति फलं तु जले न भवति अतः एतत् जलफलम् इति कथ्यते; question जलफलः इति कस्य पर्यायः answer खर्बूजः question जलफलः इति कस्य पर्यायः answer खर्बूजः; उत्तरम् श्रृङ्गाटकः; खर्बूजः"
200	स्वादुफला इति कस्य पर्यायः?	द्राक्षा	द्राक्षा / आम्रः / कदली / कालिन्दः	"question स्वादुफला इति कस्य पर्यायः choices द्राक्षा  आम्रः  कदली  कालिन्दःquestion स्वादुफला इति कस्य पर्य; द्राक्षा; आम्रः  परिपक्वः आम्रः स्वादुः भवति; आम्रः; उत्तरम् द्राक्षायाः; answer आम्रः answer आम्रः; question स्वादुफला इति कस्य पर्यायः answer आम्रः question स्वादुफला इति कस्य पर्यायः answer आम्रः; आम्रः 

आम्रस्यैव स्वादुफला इति पर्यायः प्रसिद्धः"
206	निम्नलिखितेषु पर्यायेषु किं फलं मुद्गलानां देशे आधिक्येन प्राप्यते?	अमृतफलम्	सेवम् / वातादः / अमृतफलम् / आम्रम्	"अमृतफलम्; आम्रम्  मुद्गलानां देशे आम्रफलानि प्रसिद्धानि आसन्; question निम्नलिखितेषु पर्यायेषु किं फलं मुद्गलानां देशे आधिक्येन प्राप्यते choices सेवम्  वातादः  अमृतफलम्  आम्रम्; वातादः; उत्तरम् आम्रम्

मुद्गलानां देशे भारते आम्रफलस्य आधिक्येन उत्पादनं भवति भारतं विश्वे आम्रोत्पादने अग्रगण्यं देशम् अस्ति; सेवम्; आम्रम्; आम्रम् 

मुद्गलानां देशे आम्रस्य श्रेष्ठत्वात्; आम्रम् 

मुद्गलानां देशे आम्रफलानि आधिक्येन प्राप्यन्ते"
207	कृमिसमूहनाशकः इति कस्य वर्णनम्?	निम्बूकम्	बीजपूरक / जम्बीरी निम्बूः / निम्बूकम् / मधुकर्कटी	"बीजपूरक; मधुकर्कटी; उत्तरम् बीजपूरकस्य; निम्बूकम् 

निम्बूकस्य कीटनाशकगुणाः प्रसिद्धाः; question कृमिसमूहनाशकः इति कस्य वर्णनम् answer बीजपूरक question कृमिसमूहनाशकः इति कस्य वर्णनम् answer बीज; निम्बः; question कृमिसमूहनाशकः इति कस्य वर्णनम् answer बीजपूरक analysis बीजपूरक कृमिसमूहनाशकः इति वर्णितम् question; question कृमिसमूहनाशकः इति कस्य वर्णनम् answer निम्बूकम् question कृमिसमूहनाशकः इति कस्य वर्णनम् answer न; बीजकः; निम्बूकस्य 

यतः निंबूकेन कृमिनिवारणं भवति; जम्बीरी निम्बूः; निम्बूकम्; निम्बूकः"
208	बिल्वकर्कटी इति कस्य पर्यायः?	बिल्वफलम्	बिल्वफलम् / बिल्वमज्जा / बिल्वपत्रम् / बिल्वमूलम्	"बिल्वफलम्; उत्तरम् बिल्वफलम्

बिल्वकर्कटी इति बिल्वफलस्य पर्यायः अयं शब्दः बिल्ववृक्षस्य फलं सूचयति न तु पत्रं मज्जां वा मूलम्; बिल्वफलम् 

बिल्वकर्कटी इति बिल्वफलस्य पर्यायः अस्ति; बिल्वमज्जा; बिल्वकर्कटी इति बिल्वमूलस्य पर्यायः; बिल्वकर्कटी इति बिल्वफलस्य पर्यायः"
214	निम्नलिखितेषु पर्यायेषु चतुरम्ले किम् नास्ति?	बीजपूरकनिम्बूः	अम्लवेतसः / बीजपूरकनिम्बूः / वृक्षाम्लः / जम्बीरनिम्बूः	"उत्तरम् वृक्षाम्लः

चतुरम्ले वृक्षाम्लः न समाविष्टः चतुरम्लं नाम आयुर्वेदे प्रसिद्धं अम्लवर्गस्य औषधम् यत्र अम्लवेतसः बीजपूरकः निम्बूः जम्बीरं च समाविष्टानि सन्ति वृक्षाम्लः अन्यः पदार्थः यः चतुरम्ले न गण्यते; question निम्नलिखितेषु पर्यायेषु चतुरम्ले किम् नास्ति choices अम्लवेतसः  बीजपूरकनिम्बूः  वृक्षाम्लः  जम्बीर; जम्बीरनिम्बूः  चतुरम्लानि आम्रं द्राक्षा कपित्थं मातुलुङ्गं च भवन्ति; बीजपूरकनिम्बूः 

बीजपूरकनिम्बूः मधुरफलम् अस्ति न अम्लफलम् ; जम्बीरनिम्बूः  जम्बीरनिम्बूः मधुरः अस्ति चतुरः न; जम्बीरनिम्बूः

चतुरम्ले अम्लवेतसः बीजपूरकनिम्बूः वृक्षाम्लः च सन्ति; जम्बीरनिम्बूः

चतुरम्ले न अन्तर्भवति जम्बीरनिम्बूः चतुरम्लं नाम फलानां समूह; जम्बीरनिम्बूः; अम्लवेतसः; बीजपूरकनिम्बूः; वृक्षाम्लः"
219	रजतस्य उत्पत्तिः कस्मात् भवति?	शिवस्य अश्रुभ्यः	शिवस्य वीर्यतः / शिवस्य अश्रुभ्यः / पार्वत्याः अश्रुभ्यः / चन्द्रमसः	"शिवस्य अश्रुभ्यः; शिववीर्यतः; question रजतस्य उत्पत्तिः कस्मात् भवति answer चन्द्रमसः question रजतस्य उत्पत्तिः कस्मात् भवति answer चन्द्रमस; पार्वत्याः अश्रुभ्यः; उत्तरम् शिवस्य अश्रुभ्यः

आयुर्वेदिक परम्परायां रजतस्य उत्पत्तिः शिवस्य अश्रुभ्यः भवति इति मान्यता अस्ति अयं विचारः पौराणिक कथासु च दृश्यते; पार्वत्याः अश्रुभ्यः

रामायणे वर्णितानुसारं रजतस्य उत्पत्तिः पार्वत्याः अश्रुभ; रजतस्य उत्पत्तिः चन्द्रमसः भवति; चन्द्रमसः; अश्रुभ्यः"
220	कृत्रिमं रूप्यं कस्मात् उत्पद्यते?	वङ्गादि एवं पारदतः	पारदतः / स्वर्णतः / वङ्गादि एवं पारदतः / वङ्गादि एवं गन्धकतः	"वङ्गादिरसयोगतः; कृत्रिमं रूप्यं पारदतः वङ्गादि एवं गन्धकतः उत्पद्यते; वङ्गादि एवं गन्धकतः; वङ्गादि एवं पारदतः

कृत्रिमं रूप्यं मुख्यतया वङ्गादि धातुभ्यः पारदस्य योगेन उ; गन्धकतः; question कृत्रिमं रूप्यं कस्मात् उत्पद्यते answer वङ्गादि एवं पारदतः analysis वङ्गादिरसयोगतः reasoning व; वङ्गादि एवं पारदतः 

रसवादिभिः पारदादिभिः कृत्रिमरजतनिर्माणं क्रियते; पारदतः; वङ्गादि एवं पारदतः; वङ्गादिपारदतः; वङ्गादि"
230	कांस्यस्य उत्पत्तिः कस्मात् भवति?	ताम्र + वङ्गात्	ताम्रात् / ताम्र + वङ्गात् / यशद + ताम्रात् / यशद + वङ्गात्	यशदताम्रात्; question कांस्यस्य उत्पत्तिः कस्मात् भवति answer ताम्र  वङ्गात् question कांस्यस्य उत्पत्तिः कस्मात् भवति ; question कांस्यस्य उत्पत्तिः कस्मात् भवति answer यशद  ताम्रात् choices ताम्रात्  ताम्र  वङ्गात्  यशद  त; ताम्रवङ्गात्; ताम्रत्रपुजम्; ताम्र  वङ्गात्; ताम्रात्; यशद  ताम्रात्
231	आरकूटम् इति कस्य पर्यायः?	पित्तलम्	स्वर्णमाक्षिकम् / कांस्यम् / खर्परम् / पित्तलम्	पित्तलम्; कांस्यम्; स्वर्णमाक्षिकम्
232	पित्तलस्य उत्पत्तिः कस्मात् भवति?	ताम्र-यशदात्	ताम्र-यशदात् / ताम्र-वङगात् / यशद-वङगात् / स्वर्ण-ताम्रात्	question पित्तलस्य उत्पत्तिः कस्मात् भवति answer ताम्रयशदात् analysis पित्तलस्य उत्पत्तिः ताम्रयशदात् भवत; यशदवङगात्; ताम्रवङगात्; ताम्रयशदात्
235	सौवर्णशिलाजतोः वर्णः कः भवति?	जपापुष्पवर्णः	पाण्डुरः / मयूरकण्ठवर्णः / जपापुष्पवर्णः / जटायुपक्षाभः	"जपापुष्पवर्णः

यतः सौवर्णशिलायाः वर्णः सुवर्णस्य जपापुष्पस्य च इव पीतः भवति; जटायुपक्षाभः; question सौवर्णशिलाजतोः वर्णः कः भवति answer जपापुष्पवर्णः question सौवर्णशिलाजतोः वर्णः कः भवति answer ज; जपापुष्पवर्णः

कथम्  रामायणे वर्णितं यत् सौवर्णशिला जपाकुसुमानाम् इव शोभते स्म; जपापुष्पवर्णः; पाण्डुरः; मयूरकण्ठवर्णः; उत्तरम् जटायुपक्षाभः"
236	राजतशिलाजतोः वर्णः कः भवति?	पाण्डुरः	कृष्णः / पाण्डुरः / रक्तः / जपापुष्पवर्णः	"जपापुष्पवर्णः; कृष्णः; कृष्णः

यतः वाल्मीकिरामायणे स्पष्टम् उक्तं यत् रामस्य वर्णः श्यामः आसीत् यः कृष्णवर्णस्य द्योतकः अस्ति; उत्तरम् कृष्णः

राजतशिलाजतोः वर्णः सामान्यतया कृष्णः भवति शिलाजतु एकं प्राकृतिकं पदार्थं यत् पर्वतेभ्यः निःसरति तस्य वर्णः प्रायशः कृष्णः एव दृश्यते; राजतशिलाजतोः वर्णः कृष्णः भवति; पाण्डुरः

यतः वाल्मीकिरामायणे राजीवतशिलाः शुभ्रवर्णाः इति वर्णिताः; रक्तः; पाण्डुरः; पाण्डुरः 

यतः रामायणे स्पष्टं वर्णितं यत् राजतशिला पाण्डुवर्णा आसीत् "
237	ताम्रशिलाजतोः वर्णः कः भवति?	मयूरकण्ठसमः	जपापुष्पसमानः / मयूरकण्ठसमः / कृष्णः / पाण्डुरः	"मयूरकण्ठसमः 

ताम्रशिला नीलमणिः अस्ति यस्य वर्णः मयूरकण्ठस्य वर्णेन सदृशः; जपापुष्पसमानः; question ताम्रशिलाजतोः वर्णः कः भवति answer जपापुष्पसमानः question ताम्रशिलाजतोः वर्णः कः भवति answer मयूरकण; जपाकुसुमसङ्काशः; मयूरकण्ठसमः  यतः श्रीरामस्य वर्णनम् एवम् अस्ति; कृष्णः; मयूरकण्ठसमः"
238	लौहशिलाजतोः वर्णः कः भवति?	जटायुपक्षाभम्	कृष्णः / श्वेतः / जटायुपक्षाभम् / मयूरकण्ठसमः	"मयूरकण्ठसमः

तस्य वर्णः मयूरकण्ठस्य छटाम् अनुकरोति; answer जटायुपक्षाभम् answer जटायुपक्षाभम्; question लौहशिलाजतोः वर्णः कः भवति choices कृष्णः  श्वेतः  जटायुपक्षाभम्  मयूरकण्ठसमः; उत्तरम् मयूरकण्ठसमः

लौहशिलाजतोः वर्णः मयूरकण्ठसमः भवति अयं वर्णः नीलहरितमिश्रितः मयूरस्य कण्ठे दृश्यमानवर्णसदृशः; मयूरकण्ठसमः  

तस्य वर्णः मयूरस्य कण्ठप्रदेशे विद्यमानैः नीलहरितैः वर्णैः युक्तः आसीत् ; जटायुपक्षाभम्; कृष्णः; मयूरकण्ठसमः"
240	पारदस्य कति भेदाः भवन्ति?	४		"द्वौ पारदो हि रसः तथा च महारसश्चेति; द्वौ; षट्  रसभेदात्; चत्वारः

पारदस्य चत्वारो भेदाः भवन्ति  शूद्रपारदः वैश्यपारदः क्षत्रियपारदः ब्राह्मणपारदश्च यद्यपि निष्कर्षिते ब्राह्मणपारदः न दृश्यते तथापि आयुर्वेदशास्त्रानुसारं पारदस्य चत्वारो वर्णभेदाः प्रसिद्धाः सन्ति; चतुर्विधम्; अष्टौ  अष्टौ पारदभेदाः  रसशास्त्रे वर्णिताः; पारदस्य त्रयः भेदाः भवन्ति; पारदस्य चत्वारः भेदाः भवन्ति; अष्टौ; question पारदस्य कति भेदाः भवन्ति answer चत्वारः question पारदस्य कति भेदाः भवन्ति answer चत्वारः; सप्त; चतुर्विधः; पारदस्य षड् भेदाः भवन्ति; त्रयः; पारदस्य षड्भेदाः भवन्ति; पञ्च; क्षमस्व रामायणसम्बन्धिनः प्रश्नस्य स्थाने पारदविषयकः प्रश्नः पृष्टः तथापि; चत्वारः; नव"
242	रुजायाः नाशाय उत्तमः पारदः कः?	श्वेतः	श्वेतः / पीतः / रक्तः / कृष्णः	"question रुजायाः नाशाय उत्तमः पारदः कः answer रक्तः analysis रक्तः पारदः रुजायाः नाशाय उत्तमः question रुजाय; रक्तः पारदः रुजायाः नाशाय उत्तमः; रक्तः  रक्तवर्णः पारदः रोगनाशकः इति प्रसिद्धम्; उत्तरः श्वेतः; कृष्णः; श्वेतः; रक्तः; पारदस्य विषये विचारयामः चेत् रोगनाशनार्थम् उत्तमः पारदः श्वेतः एव आयुर्वेदशास्त्; पीतः  पित्तजन्यरुजायाम् पीतः पारदः उत्तमः भवति; रक्तः  रक्तवर्णः पारदः औषधीयगुणैः युक्तः; रक्तः

रुजायाः नाशाय उत्तमः पारदः रक्तः पारदः भवति अयं रक्तपारदः विशेषतया वेदनाश"
243	पारदस्य पर्यायाः के?	सर्वे	रसधातुः / सूतः / महारसः / सर्वे	"सर्वे

पारदस्य पर्यायाः रसधातुः सूतः महारसः च सन्ति अतः प्रश्ने दत्तेषु विकल्पेषु सर्वे इति उत्तरम् उचितम्; उत्तरः सर्वे; रसधातुः; सूतः; सर्वे"
245	पारदस्य वङ्गदोषस्य कार्यं किम्?	कुष्ठम्	मूर्च्छा / कुष्ठम् / जडता / वीर्यनाशः	"कुष्ठम्; जडता; वीर्यनाशः; मूर्च्छा  पारदस्य वङ्गदोषः हनुमन्तं मूर्च्छितं कृतवान्; मूर्च्छा 

हनुमता प्रहारस्य कारणात्; मूर्च्छा; जडताम्"
246	कति उपरसाः सन्ति?	२०	१० / २० / ३० / ३६	"८; अष्टादश १८

रामायणे अष्टादश उपरसाः सन्ति एते उपरसाः मुख्यकथायाः सहायकाः भवन्; षट्त्रिंशत्; ३६; २०; १०; नव 

नव रसाः नाट्यशास्त्रे वर्णिताः; ६; ३०; दश; उपरसाः २०; उत्तरम् ८; नव; उपरसाः दश"
247	अधोलिखितेषु हिङ्गुलः कस्य पर्यायः नास्ति?	चर्मारः	दरदः / म्लेच्छः / चूर्णपारदः / चर्मारः	"म्लेच्छः; चर्मारः 

चर्मकारः अयं शब्दः चर्मणा कार्यं करोति इति अर्थे  हिङ्गुलः दरदः म्लेच्छः चूर्णपारदः च रससिंदूरस्य पर्यायाः; चर्मारः  हिङ्गुलः रक्तवर्णीय पदार्थः चर्मकारस्य न; चर्मारः

हिङ्गुलस्य पर्यायाः सन्ति दरदः म्लेच्छः चूर्णपारदः इत्यादयः परन्; चूर्णपारदः; चर्मारः 

चर्मकारः चर्मारः इति कथ्यते न तु हिङ्गुलः; चर्मारः

हिङ्गुलः सिन्दूरस्य पर्यायवाची शब्दः अस्ति दरदः म्लेच्छः चूर्ण; चर्मारः; question अधोलिखितेषु हिङ्गुलः कस्य पर्यायः नास्ति choices दरदः  म्लेच्छः  चूर्णपारदः  चर्मारः question अधोलिख"
