ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
299	निम्नलिखितेषु कः कलायस्य पर्यायः नास्ति?	हरिमन्थः	वर्त्तुलः / सतीनः / हरेणुकः / हरिमन्थः	वर्त्तुलः	सतीनः	हरिमन्थः	"**हरिमन्थः** 

हरिमन्थः कलायस्य पर्यायः नास्ति"	हरेणुकः	सतीनः कलायस्य पर्यायः नास्ति	हरेणुकः इदमेव कलायस्य पर्यायः अस्ति	सतीनः	हरेणुकः	वर्त्तुलः
300	तिलस्य भेदाः कतयः भवन्ति?	३	२ / ३ / ४ / कोऽपि भेदः नास्ति	३	२	तिलस्य त्रयो भेदाः भवन्ति श्वेतः, रक्तः, कृष्णः च	त्रयः   तिलस्य कृष्ण-श्वेत-रक्त-भेदाः प्रसिद्धाः	त्रयः	तिलस्य भेदाः त्रयः भवन्ति	तिलस्य भेदाः त्रयः भवन्ति - श्वेत तिलं, कृष्ण तिलं, रक्त तिलं	द्वौ	"तिलस्य भेदाः त्रयः भवन्ति ते यथा - 

१) श्वेततिलः 
२) कृष्णतिलः 
३) रक्ततिलः"	२
301	अतसी निम्नेषु कस्मै पर्यायः?	सर्वे	पार्वती / उमा / क्षुमा / सर्वे	सर्वे	पार्वती	सर्वे	**क्षुमा**	क्षुमा	उमा	पार्वती उमा चेति सर्वे पर्यायः	"**सर्वे**

अतसी पर्यायः पार्वती, उमा, क्षुमा सर्वेषाम् एते सर्वे पार्वत्याः पर्यायपदाः सन्ति"	अतस्याः पर्यायः क्षुमा अस्ति	पार्वती
310	निम्नलिखितेषु पर्यायेषु किं द्रव्यं सुखविरचकम् अस्ति?	पटोलमूलम्	पटोलपुष्पम् / पटोलनालः / पटोलपत्रम् / पटोलमूलम्	पटोलपत्रम्	पटोलपत्रम्	पटोलमूलम्		पटोलपत्रम्	पटोलपुष्पम्	पटोलपुष्पम्	पटोलपत्रम्	पटोलपत्रम्	पटोलपुष्पम्
312	अर्शरोगिभ्यः विशेषेण पथ्यं शाकं किमस्ति?	सूरणः	सूरणः / डिण्डिशः / डोडिका / सर्वाणि	सूरणः	सूरणः	सर्वाणि	"**सूरणः** 

**कथम् ?** कफ-वात-शामकत्वात्"	सर्वाणि	सर्वाणि	अर्शरोगिभ्यः सूरणः शाकं पथ्यं अस्ति तस्मात् सूरणः अर्शर	"अर्शरोगिभ्यः सर्वाणि शाकानि उत्तम पथ्यानि भवन्ति 

* **सूरणः** (Elephant Foot Yam): वातहरः, कफपित्तकरः, व्रणरोपणः, वाजीकरण"	अर्शरोगिभ्यः विशेषेण पथ्यं शाकं डिण्डिशः अस्ति	सूरणः
313	कन्दशाकेषु सर्वश्रेष्ठम् किम्?	सूरणः	नालः / कर्कोटी / सर्षपः / सूरणः	सूरणः	नालः	सूरणः	सूरणः	सूरणः	सर्वश्रेष्ठं कन्दशाकं सूरणः अस्ति	सर्षपः	कृष्णकन्दोत्तमः	नालः	सर्षपः
318	जाङ्गलमांसस्य भेदाः कतयः?	८; अष्टौ	२ / ४ / ६ / ८	६	२	जाङ्गलमांसस्य भेदाः अष्टौ (८)	**अष्टौ** | आयुर्वेदे अष्टौ जाङ्गलमांसप्रभेदाः वर्णिताः	८	जाङ्गलमांसस्य भेदाः ६ सन्ति	जाङ्गलमांसस्य चत्वारि भेदाः भवन्ति ते अन्योन्यं विरुद्धभाव	२	जाङ्गलमांसस्य भेदाः अष्टौ	२
319	अधोलिखितेषु पर्यायेषु पर्णमृगाणां विषये किं वाक्यं उचितम् अस्ति?	वृक्षेषु आरोहन्ति; वृक्षेषुआरोहन्ति	विकीर्य भक्षयन्ति / जङ्घायाः बलतः गच्छन्ति / वृक्षेषु आरोहन्ति / ग्रामे वसन्ति	वृक्षेषु आरोहन्ति	विकीर्य भक्षयन्ति	वृक्षेषु आरोहन्ति	"**जङ्घायाः बलतः गच्छन्ति**  

पर्णमृगाः वेगेन धावन्ति यतः तेषां जङ्घाः अतीव बलिष्ठाः भवन्ति"	वृक्षेषु आरोहन्ति	"पर्णमृगाणां विषये ""वृक्षेषु आरोहन्ति"" इति वाक्यं उचितम् अस्ति"	पर्णमृगाः विकीर्य भक्षयन्ति	वृक्षेषु आरोहन्ति	पर्णमृगाणां विषये उचितं वाक्यं - वृक्षेषु आरोहन्ति	विकीर्य भक्षयन्ति
320	आनूपमांसस्य कति प्रकाराः सन्ति?	५; पञ्च	२ / ३ / ४ / ५	४	५	आनूपमांसस्य त्रयः प्रकाराः सन्ति	५	"त्रयः

आयुर्वेदे आनूपमांसस्य त्रयः प्रकाराः वर्णिताः सन्ति एते प्रकाराः स्थल"	आनूपमांसस्य चतुर्विधाः प्रकाराः सन्ति	आनूपमांसस्य चतुर्विधाः प्रकाराः सन्ति ते हालाहलिका, विषाकण्ठी,	चत्वारः प्रकाराः	आनूपमांसस्य पञ्च प्रकाराः सन्ति	२
321	शशकाः के इति कथ्यन्ते?	बिलेशयाः	पर्णमृगाः / गुहाशयाः / बिलेशयाः / विष्किराः	बिलेशयाः	पर्णमृगाः	शशकाः बिलेशयाः कथ्यन्ते	**पर्णमृगाः** | शाकाहारित्वात् पर्णानां भक्षणात् च शशकाः पर्णमृगाः कथ्यन्ते	बिलेशयाः	शशकाः पर्णमृगाः इति कथ्यन्ते	शशकाः पर्णमृगाः इति कथ्यन्ते शशकाः एव पर्णमृगाः इति संस्क	गुहाशयाः	बिलेशयाः	विष्किराः
324	कः जीवः कूलेचरः इति  कथ्यते?	यः जलाशयस्य कूले चरति	यः भ्रमित्वा खादति / यः जलाशयस्य कूले चरति / यः समूहसहितं खादति / यः जलाशये प्रविश्य चरति	यः जलाशयस्य कूले चरति	नकुलः	यः जलाशयस्य कूले चरति	**कर्कट:** कर्कटकः कूले चरति इति कूलेचरः	यः जलाशयस्य कूले चरति	यः जलाशयस्य कूले चरति	जलाशये चरति चेत् जीवः कूलेचरः इति कथ्यते जलाशयं प्रविश्य	जलाशयस्य कूले चरति	यः जलाशयस्य कूले चरति	"यः भ्रमित्वा खादति = कुत्रा
यः जलाशयस्य कूले चरति = काळ
यः समूहसहितं खादति = कुत्रा
यः जलाशये प्रविश्य चरति"
329	श्रेष्ठं मत्स्यमांसं किम्?	रोहितमांसम्	शिलोन्ध्रमांसम् / भाकुरमांसम् / रोहितमांसम् / श्रृङ्गीमांसम्	शिलोन्ध्रमांसम्	रोहितमांसम्	रोहितमांसम्	"**रोहितमांसम्** 

**कथम्?**  रोहितमांसं सुपाच्यतमं, बलवर्धकं च"	"रोहितमांसम्

कारणम्: रोहितमत्स्यः आयुर्वेदे अत्यन्तं प्रशंसितः अयं मत्स्यः"	रोहितमांसम्	मत्स्यमांसं भाकुरमांसम् इति तस्य रुचिरत्वं एव अधिकं प्रशंसनी	शिलोन्ध्रमांसम्	श्रेष्ठं मत्स्यमांसं शिलोन्ध्रमांसम्	श्रेष्ठं मत्स्यमांसम्
331	जलस्य कति भेदाः सन्ति?	४; चत्वारः	२ / ३ / ४ / ५	५	४	जलस्य भेदाः चत्वारः सन्ति	चत्वारः	पञ्च	जलस्य ५ भेदाः सन्ति	जलस्य चत्वारि भेदाः सन्ति - जल, वारि, नीर, अपः	पञ्च	आयुर्वेदे जलस्य पञ्च भेदाः सन्ति	जलस्य ५ भेदाः सन्ति
333	धाराजलस्य कति भेदाः सन्ति?	२; द्वौ	२ / ३ / ४ / ५	४	३	धाराजलस्य त्रिविधा भेदाः सन्ति	४   धातुभेदात् जलभेदश्चतुर्विधः	आयुर्वेदानुसारं धाराजलस्य चत्वारः भेदाः सन्ति अतः उत्तरम् - ४	धाराजलस्य चार भेदाः सन्ति	धाराजलस्य त्रीणि भेदाः सन्ति - स्थूलधारा, सूक्ष्मधारा और सूक्ष	३	धाराजलस्य त्रिभेदाः सन्ति	२
335	भौमजलस्य कति प्रकाराः भवन्ति?	३; त्रयः	२ / ३ / ४ / ५	४	४	भौमजलस्य चत्वारः प्रकाराः भवन्ति	पञ्च	"चत्वारः

भौमजलस्य चत्वारः प्रकाराः भवन्ति एते प्रकाराः सन्ति:

1 उष्ण
2 शी"	भौमजलस्य ५ प्रकाराः भवन्ति	भौमजलस्य चार प्रकाराः भवन्ति - जलं (१), तैलं (२), लवणं (३), सिन	पञ्च भूतानि, पृथिवी, अग्नि, वायु, आकाश एवं तद्गत जलम्, एतानि पञ्चभौतिकानि जलानि कथ्यन्ते| भौमाग्निकानि, वायवीयाणि, आ	भौमजलस्य त्रीणि प्रकाराः भवन्ति	५
337	जलपानस्य विधेः कः कालः उचितः?	मुहुर्मुहुः	भोजनात्पूर्वम् / भोजनमध्यम् / भोजनान्ते / मुहुर्मुहुः	भोजनान्ते	भोजनान्ते	मुहुर्मुहुः	भोजनात्पूर्वम्  भोजनाग्निं प्रदीप्त्यर्थम्	भोजनात्पूर्वम्	भोजनमध्यम् उचितः कालः	जलपानस्य विधेः कालः भोजनात् पूर्वम् इति उचितः भोजनात् पूर	भोजनान्ते	भोजनात्पूर्वम्	भोजनान्ते
339	कस्मिन् रोगे शीतलजलपानम् शस्यते?	मदात्ययः; मदात्यये	विद्रधिः / मदात्ययः / पार्श्वशूलः / वद्धकोष्ठः	मदात्ययः	विद्रधिः	विद्रधिः	"**मदात्यये** शीतलजलपानं शस्यते 

**कथम् ?** मदात्यये उष्णता प्रकुपिता भवति, शीतलजलं तु तां शमयति"	मदात्ययः	विद्रधिः	विद्रधिर्भिन्नरूपे विकारे एकम् भवति जन्तुनाम् एवं शीतलजलप	वद्धकोष्ठः	मदात्यये	विद्रधिः
340	कस्मिन् रोगे अल्पजलपानम् शस्यते?	सर्वे	उदररोगः / मुखप्रसेकः / क्षयः / सर्वे	उदररोगः	उदररोगः	सर्वे	"**उदररोगे** 

**कथम् ?**

उदररोगे जठराग्नौ मन्दतायाः कारणात् अल्पजलपानं पाचनक्रियायां सहायकं भवति"	उदररोगः	उदररोगे अल्पजलपानम् शस्यते	अल्पजलपानं उदररोगे शस्यते उदररोगः अनेकविधानि अस्थायी र	सर्वे	मुखप्रसेकः	उदररोगः
343	दुग्धपानम् कस्मिन् रोगे शस्यते?	सर्वेषु	जीर्णज्वरे / योनिरोगे / उदावर्ते / सर्वेषु	सर्वेषु	जीर्णज्वरे	जीर्णज्वरे	जीर्णज्वरे	सर्वेषु	दुग्धपानम् जीर्णज्वरे शस्यते	दुग्धपानम् शीतोष्णतां ददाति च एवं शीतोष्णं ग्रहणं कृत्वा		दुग्धपानं जीर्णज्वरे शस्यते	जीर्णज्वरे
346	किं दुग्धं कृमिकुष्ठनाशकम् अस्ति?	औष्ट्रदुग्धम्	औष्ट्रदुग्धम् / घोटकीदुग्धम्  / आविकदुग्धम्  / स्त्रीदुग्धम् 	घोटकीदुग्धम्	औष्ट्रदुग्धम्	घोटकीदुग्धम्	"**औष्ट्रदुग्धम्** 

**कथम् ?** औष्ट्रदुग्धं  विशेषतः  कृमिकुष्ठनाशकगुणैर्युक्तम्"	आविकदुग्धम्	औष्ट्रदुग्धम्	कृमिकुष्ठनाशकं औष्ट्रदुग्धम् अस्ति औष्ट्रदुग्धम् शरीरं क	"क्षीरम् कृमिकुष्ठनाशकं न भवति

**विस्तृतम्:**

क्षीरं कफ़वर्धकम्, वातपित्तनाशनम् च  एतत् मेदोवृद्धिं अपि करोति किन्तु दु"	आविकदुग्धम्	स्त्रीदुग्धम्
350	सितायुक्तं दुग्धं किम् भवति?	शुक्रजनकः	वातनाशकः / शुक्रजनकः / कृच्छ्रनाशकः / कफकारकः	कफकारकः	वातनाशकः	कफकारकः	"कफकारकः 
दुग्धं स्वभावतः शीतलं गुरु च अस्ति शर्करायाः अपि शीतवीर्यत्वात्  सितायुक्तं दुग्धं कफं वर्धयति"	"कफकारकः

सितायुक्तं दुग्धं कफकारकं भवति आयुर्वेदानुसारं, दुग्धं स्वभावतः स्निग्"	सितायुक्तं दुग्धं शुक्रजनकः भवति	सितायुक्तं दुग्धं वातनाशकं भवति	शुक्रजनकः	कृच्छ्रनाशकः	वातनाशकः
352	दध्नः भेदाः कति?	५; पञ्च	२ / ३/ ४ / ५	५	४	दध्नः भेदाः ३	"षट्  
 
दध्नः षट् भेदाः आयुर्वेदे वर्णिताः"	आयुर्वेदानुसारं दध्नः भेदाः त्रयः (३) सन्ति	दध्नः भेदाः पञ्च:	दध्नः भेदाः त्रयः अस्ति - साधारण (२), विशेषण (३), विशिष्ट (४)	५	दध्नः भेदाः पञ्च	२
353	किम् दधि उत्तमम् स्यात्?	आजम्	माहिषम् / गव्यम् / आजम् / गालितम्	गव्यम्	गव्यम्	गव्यम्	"**गव्यम्**  

गव्यं दधि सुपाच्यतमम्"	"गव्यम्

कारणम्: गव्यं दधि पोषकतत्त्वैः समृद्धं, सुपाच्यं, त्रिदोषशामकं च भव"	गव्यम् उत्तमम् स्यात्	उत्तमं दधि माहिषम् स्यात् एषः दधि सर्वेषु गावां महत्त्वं अपि प	गव्यम्	गव्यम्	गव्यम्
357	अधोलिखितेषु पर्यायेषु तक्रस्य पर्यायाः के?	सर्वे	छोल / छच्छिका / श्वित / सर्वे	सर्वे	तक्रस्य पर्यायाः: छच्छिका, सर्वे	सर्वे	"**सर्वे** 

सर्वे पर्यायाः तक्रस्यैव सन्ति"	सर्वे	"तक्रस्य पर्यायः ""छच्छिका"" अस्ति"	तक्रस्य पर्यायाः छोलः, छच्छिका च, श्वित च, एवं सर्वे च तक्रं च	सर्वे	छोल / छच्छिका / श्वित / सर्वे	तक्र = छोल / छच्छिका / श्वित / सर्वे
361	किं घृतं विषनाशकम् अस्ति?	वडवाघृतम्	नारी घृतः / आविकः / माक्षिषः / वडवा	नारी-घृतः	नारी	माक्षिकः	आविकम्	"आविकः

आविकं घृतम् (अजाघृतम्) विषनाशकं मन्यते आयुर्वेदीय-ग्रन्थेषु अजाघृ"	नारी घृतः विषनाशकः अस्ति	घृतं विषनाशकमस्ति तत्र एकः प्रमुखः गुणः हृदयम् शोधयति	नारी घृतः	नारी घृतम्	नारी घृतम्
362	अमृतोपमं घृतं इति कस्य वर्णनं?	स्त्रीघृतम्; स्त्री	माहिष घृतम् / गव्य / स्त्री / औष्ट्र	गव्य	गव्य	गव्य	**गव्य**  **गोदुग्धेन निर्मितत्वात्**	गव्य	अमृतोपमं घृतं इति माहिष घृतस्य वर्णनं अस्ति	माहिष घृतं अमृतोपमं इति वर्णितम् घृतं माहिषघृतं नाम संस्कृ	गव्य	माहिष घृतम्	माहिष घृतम्
363	किं घृतं कृमि-कुष्ठ-गुल्म-उदर-रोग-नाशकम्?	औष्ट्रघृतम्; औष्ट्र घृतम्	गव्य घृतम् / ह्यस्तन / आविक / औष्ट्र	गव्य घृतम्	गव्य घृतम्	गव्य घृतम्	"**गव्यम्**  

गव्यं घृतं  सर्वोत्तमम्"	गव्य घृतम्	गव्य घृतं कृमि-कुष्ठ-गुल्म-उदर-रोग-नाशकम्	गव्य घृतम् कृमि-कुष्ठ-गुल्म-उदर-रोग-नाशकं अस्ति	"गव्य घृतम् 
गव्य घृतम् कृमि-कुष्ठ-गुल्म-उदर-रोग-नाशकम् न हि ह्यस्तन, आविक, औष्ट्र घृतम् कृमि-कुष्ठ-गुल्म-उदर-"	गव्य घृतम्	गव्य घृतम्
364	कास-श्वास-क्षये हितकरं घृतं किम् अस्ति?	आज	अज / आविक / गव्य / माहिष	गव्य	गव्य	गव्य	**गव्यम्**  **गव्यं घृतं शीतवीर्यत्वात् पित्त-कफप्रधानरोगे कास-श्वास-क्षये हितकरम्**	"गव्यम्

कास-श्वास-क्षय-रोगेषु गोघृतम् अत्यन्तं हितकरं भवति गव्यघृतस्य गुण"	गव्य घृतं कास-श्वास-क्षये हितकरं अस्ति	"कास-श्वास-क्षये हितकरं घृतं ""आविक"" इति विद्यते"	**अजगव्यम्**	माहिष	अज
365	वीर्यवर्धकं घृतं किम्?	माहिष	माहिष / अज / औष्ट्र / गव्य	गव्य	अज	माहिष	**गव्यम्**	गव्य	वीर्यवर्धकं घृतं गव्यं अस्ति	वीर्यवर्धकं घृतं माहिषं इति एतत् वीर्यवर्धकं घृतं पुराणेषु	अजं घृतम्	माहिषघृतम्	वीर्यवर्धकं घृतं गव्यं
369	श्रेष्ठं तैलं किम्?	तिल	सर्षप / तिल / तुवरी / अतसी	तिल	तिल	तिल		आयुर्वेदानुसारं तिलतैलम् श्रेष्ठं मन्यते तिलतैलस्य गुणाः बहवः सन्ति - यथा व	सर्षप-तैलं श्रेष्ठं	सर्षपं श्रेष्ठं तैलं अस्ति तस्य प्रयोगे अनेकानि आयुर्वेदिकानि	तिल	सर्षप	तिल तैलम् श्रेष्ठम्
371	किं घृतं हीनवीर्यम् इति कथ्यते?	>1 वर्ष प्राचीनस्य पक्वः; 1वर्षप्राचीनस्यपक्वः	<1 वर्ष प्राचीनस्य पक्वः / >1 वर्ष प्राचीनस्य पक्वः / 10 वर्ष प्राचीनं घृतम् / 100 वर्ष प्राचीनं घृतम्	>1 वर्ष प्राचीनस्य पक्वः	1 वर्ष प्राचीनस्य पक्वः	>1 वर्ष प्राचीनस्य पक्वः		10 वर्ष प्राचीनं घृतम्	10 वर्ष प्राचीनं घृतम् हीनवीर्यम् इति कथ्यते	यदि एक वर्ष प्राचीनस्य पक्वस्य घृतस्य वीर्यं गम्भीरं अस्ति तदा	वर्षोत्तरशतं भवतीति	>1 वर्ष प्राचीनस्य पक्वः	अर्थ : किं घृतं हीनवीर्यम् इति कथ्यते?
373	मद्यस्य पर्यायाः के?	सर्वे	कादम्बरी / हाला / वलवल्लभा / सर्वे	सर्वे	"मद्यस्य पर्यायाः के?

कादम्बरी, हाला, वलवल्लभा, सर्वे"	सर्वे	"**सर्वे**  

मद्यस्य आयुर्वेदशास्त्रे कादम्बरी, हाला, वलवल्लभा इति त्रिविधाः पर्यायाः वर्णिताः"	सर्वे	सर्वे	मद्यस्य पर्यायाः अश्रुतं, सुक्तिमयं, शराबं, मदिरालयं, सौराः इत	सर्वे	मद्यस्य पर्यायाः कादम्बरी / हाला / वलवल्लभा / सर्वे इति	मद्यस्य पर्यायाः कादम्बरी / हाला / वलवल्लभा / सर्वे
374	सुरायाः विषये किं विधानं योग्यम्?	शालि च षष्टिकं च धान्यचूर्णात् निर्मितं मद्यम्	पक्वा औषधं च जलं च साधितं मद्यम् / शालि च साठी च धान्यचूर्णात् निर्मिता मद्या / ईखात् निर्मिता मद्या / किञ्चित् अपि नैव	किञ्चित् अपि नैव	सुरायाः विषये त्याज्यम्	किञ्चित् अपि नैव	"**वर्ज्या** 

आयुर्वेदे  मद्यं स्वास्थ्याय हानिकरं मन्यते"	"आयुर्वेदशास्त्रानुसारं सुरायाः विषये योग्यं विधानम् - 

किञ्चित् अपि नैव

आयुर्वेद"	सुरायाः विषये आयुर्वेदे विधानं यथावत् न अस्ति मद्यपानं स्वास्थ्यस्य दृष्ट्या हानिकारकं मन्यते	सुरा एकं प्रमुखं मद्यं अस्ति जिस्का उपभोग कुछ विशेष संदर्भों में	"## किञ्चित् अपि नैव 

आयुर्वेद शास्त्र के अनुसार सुरा का सेवन स्वास्थ्य के लिए हानिकारक है और अत्यधिक मात्रा में सुरा का सेवन सेहत के लिए खतरनाक होता है आयुर्व"	सुरायाः विषये किं विधानं योग्यम्? पक्वा औषधं च जलं च साधितं मद्यम्	सुरायाः विषये योग्य विधानं यथा - सुरायाः सेवने पूर्वं स्नानं कृत्वा स्वच्छ वस्त्रं धारणं कृत्वा सुरायाः पात्रं स
375	वारुण्याः विषये किं विधानं योग्यम्?	पुनर्नवा च शालिधान्यं च	पुनर्नवा च शालि धान्यं च / शालि च साठी च धान्यम् / ईखात् निर्मिता / औषधात् निर्मिता	ईखात् निर्मिता	पुनर्नवा	वारुण्याः विषये पुनर्नवा च शालि धान्यं च विधानं योग्यम्	सेवनीयम् बलवर्धिका वारुणी	"वारुण्याः विषये योग्यं विधानम् - औषधात् निर्मिता

कारणम्: वारुणी आयुर्वेदे एकम् औषधीयं"	वारुण्याः विषये आयुर्वेदे जलस्य महत्त्वं निर्दिष्टं अस्ति पुनर्नवा च शालि धान्यं च स्वास्थ्यकरम् अस्ति शालि च साठी च धान्यम् अपि पोषकं च बलवर्धकं	वारुण्यं एकः प्राचीनः आयुर्वेदीयः चिकित्सायाम् प्रयोगः अस	सिद्धार्थः, वारुणीम् एकम् एव औषधम् अस्ति	वारुण्याः विषये योग्यम् विधानं पुनर्नवा च शालि धान्यं च	वारुण्याः विषये योग्य विधानं शालि च साठी च धान्यम्
377	मधुनः कति भेदाः सन्ति?	८; अष्टौ 	२ / ४ / ६ / ८	८	मधुनः ८ भेदाः सन्ति	आयुर्वेदे मधुनः ८ भेदाः सन्ति	"**८** 
 
अष्टौ मधु भेदाः आयुर्वेदे वर्णिताः"	"अष्टौ

आयुर्वेदे मधुनः अष्टौ भेदाः वर्णिताः सन्ति ते च - पौत्तिकं, भ्राम"	मधुनः षट् भेदाः सन्ति	मधुनः चतुःषष्टिः भेदाः सन्ति तस्मात् उत्तरः अस्ति - ६	षड्	मधुनः अष्टविधम् अस्ति	उत्तरम् - ६
378	मधूच्छिष्टस्य पर्यायाः के?	सर्वे	सिक्थकः / मदनकः / मधूषितः / सर्वे	मधूषितः	सिक्थकः / मदनकः / मधूषितः / सर्वे	सर्वे	"**सर्वे** 

मधूच्छिष्टस्य एते सर्वे पर्यायाः भवन्ति"	सर्वे मधूच्छिष्टस्य पर्यायाः सिक्थकः, मदनकः, मधूषितः इति त्रयोऽपि भवन्ति	सर्वे	मधूच्छिष्टस्य पर्यायाः विचार्यन्ते सर्वे शब्दः अर्थे सङ्ख्य	सर्वे	मधूच्छिष्टस्य पर्यायाः सिक्थकः / मदनकः / मधूषितः / सर्वे इति	मधूच्छिष्टस्य पर्यायः सर्वे
379	इक्षोः पर्यायाः के?	सर्वे	दीर्घच्छदः / असिपत्रः / मधुतृणः / सर्वे	मधुतृणः	दीर्घच्छदः / असिपत्रः / मधुतृणः / सर्वे	दीर्घच्छदः / असिपत्रः / मधुतृणः / सर्वे	"**सर्वे**  

एते सर्वे शब्दाः इक्षोः अर्थात् गन्नायाः पर्यायपदानि सन्ति"	सर्वे	सर्वे	इक्षोः पर्यायाः अस्याः पदस्य समानार्थका अस्मत् प्रसादिनः दीर्घच	सर्वे	दीर्घच्छदः / असिपत्रः / मधुतृणः / सर्वे	इक्षोः पर्यायाः मधुतृणः
380	इक्षोः कति भेदाः सन्ति?	१३	३ / ७ / १० / १३	१३	इक्षोः ३ भेदाः सन्ति	इक्षोः त्रयोदश भेदाः सन्ति	१३	आयुर्वेदशास्त्रानुसारं, इक्षोः त्रयः भेदाः सन्ति	इक्षोः १३ भेदाः सन्ति	इक्षोः त्रयः भेदाः सन्ति ते हा, पित्तं, रक्तं इति	दश	इक्षोः १३ भेदाः सन्ति	उत्तरम् - १०
381	अधः लिखितेषु कः इक्षोः पर्यायः नास्ति?	काण्डेक्षुः	मूरिरसः / गूढमूलः / काण्डेक्षुः / असिपत्रः	असिपत्रः	असिपत्रः	असिपत्रः	"**असिपत्रः** 

असिपत्रः नारिकेलस्य पर्यायः अस्ति, न तु इक्षोः"	"असिपत्रः

इक्षोः पर्यायाः भवन्ति मूरिरसः, गूढमूलः, काण्डेक्षुः इत्यादयः परन"	मूरिरसः इक्षोः पर्यायः नास्ति	मूरिरसः इक्षोः पर्यायः नास्ति अन्ये तु शब्दाः इक्षोः पर्य	"असिपत्रः
 
असिपत्रः नामधेयं कन्देक्षस्य पर्यायवाची नास्ति, अपितु आयुर्वेदे शतावरीं निर्दिशति इक्षुः शर्करायाः (दाणं) श्रो"	गूढमूलः	असिपत्रः
382	गुडस्य शुण्ठ्या सह अनुपानं किं कार्यं करोति?	वातनाशकः	कफनाशकः / पित्तनाशकः / वातनाशकः / किमपि न	कफनाशकः	कफनाशकः	कफनाशकः	**कफवातनाशकः**   शुण्ठी उष्णा, तस्मात् कफं वातं च शमयति	कफनाशकः	कफनाशकः	गुडं शुण्ठ्या सह अनुपानं गुडारिष्टं कार्यं करोति गुडारिष्टं	कफनाशक:	गुडस्य शुण्ठ्या सह अनुपानं वातनाशकः करोति	वातनाशकः
383	मागधमानानुसारं द्रोणस्य मात्रा का?	४ आढक; चत्वारः आढकाः	२ आढक / ३ आढक / ४ आढक / ६ आढक	४ आढक	४ आढक	४ आढक	"**२ आढक**

**कथम् ?**

मागधमानेन  ४ द्रोणाः = १ आढकः  तस्मात् १ द्रोणः =  १/४ आढकः = २ आढकः"	४ आढक	द्रोणस्य मात्रा २ आढक अस्ति	द्रोणस्य मात्रा आढक्	चार आढक	मागधमानानुसारं द्रोणस्य मात्रा २ आढक	उत्तर: ४ आढक
384	कलिङ्गमानानुसारं ८ रत्ति मात्रा का?	१ माषः	१ शाणः / १ माषः / १ कोलः / १ कोलः	१ माषः	१ माषः	१ माषः	१ माषः	१ माषः	कलिङ्गमानानुसारं ८ रत्ति मात्रा १ माषः अस्ति	कलिङ्गमाना एवं अन्यानुसारं रत्ति इत्यस्याः एक मात्रा अस्ति यथा	१ माषः	कलिङ्गमानानुसारं ८ रत्ति मात्रा १ कोलः अस्ति	कलिङ्गमानानुसारं १ कोलः = १/८ रत्ति
385	कषायस्य प्रकाराः कति?	५; पञ्च	३ / ५ / ७ / ९	५	३	कषायस्य प्रकाराः त्रिविधाः भवन्ति	षट्	कषायस्य प्रकाराः पञ्च (५) सन्ति	कषायस्य प्रकाराः ९	कषायस्य प्रकाराः नवाः भवन्ति ते यथा - कटुकषायः, अम्लकषायः	पञ्च	कषायस्य प्रकाराः १०	प्रत्युत्तरम्: ५
386	स्वरसस्य् मात्रा का?	अर्द्धपलः	अर्द्धपलः / 1 पलः / सार्धैक पलः / 2 पलः	अर्द्धपलः	अर्द्धपलः	सार्धैक पलः	**अर्द्धपलः**	अर्द्धपलः	स्वरसस्य मात्रा 1 पलः अस्ति	स्वरसस्य मात्रा अर्द्धपलः अस्ति	अर्द्धपलः	सार्धैक पलः	स्वरसस्य् मात्रा 1 पलः
389	फाण्टार्थे द्रव्यस्य मात्रा का?	1 कुडवः; १ कुडवः	4 पलः / 8 पलः / 1 कुडवः / 1 प्रस्थः	1 कुडवः	4 पलः	4 पलः	"**एकः प्रस्थः**

फाण्टं सामान्यतया एकस्मिन् प्रस्थे (परिमाणे) सिद्ध्यति"	1 कुडवः	फाण्टार्थे द्रव्यस्य मात्रा 1 कुडवः अस्ति	द्रव्यस्य मात्रा 8 पलाः अस्ति	४ पलः	उत्तरम् - 4 पलः	फाण्टार्थे द्रव्यस्य मात्रा 1 प्रस्थः
390	कल्कस्य मात्रा का?	1 कर्षः; १ कर्षः	1 कर्षः / 1 पलः / 2 कर्षः / 3 पलः	1 कर्षः	1 कर्षः	1 कर्षः	१ कर्षः	"उत्तरम्: 1 कर्षः

कल्कस्य मात्रा एकः कर्षः भवति आयुर्वेदे कल्कस्य प्रमाण-"	कल्कस्य मात्रा 1 कर्षः अस्ति	कल्कस्य मात्रा 1 पलः अस्ति एक पलः द्वे कर्षौ समानं भवति	कल्कस्य मात्रा **1 पलः**	कल्कस्य मात्रा 2 पलः	उत्तरम् - 1 कर्षः
