ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct	gemini-1.0-pro
849	सीतायाः हरणाय रावणः केन वेषेन आगच्छत्?	साधुवेशेन		भिक्षु-वेषेण	रावणः सीतायाः हरणाय संन्यासि-वेषेण आगच्छत्	परिव्राजकेण	मायावी	भिक्षुवेषेण	रावणः ब्रह्मण-वेण आगच्छत्	सीतायाः हरणाय रावणः सुन्दरकण्ठी नाम्ना राक्षसेन्द्रेण सहायेन आग	श्रामणवृषेण	रावणः सीतायाः हरणाय देवर्षि-वेषेन आगच्छति	रावणः सीतायाः हरणाय रामायणे रावणः राक्षस-वेषेण आगच्छति	मृगवेषेण
850	राज्ञः दशरथस्य सा का राज्ञी या तेन सह युद्धेषु भागमगृह्णात्?	कैकेयी		कैकेयी	कैकेयी	कौसल्या	कैकेयी	कौसल्या	राज्ञी कैकयी	सीता राज्ञी दशरथस्य अस्ति सीता तेन सह युद्धेषु भागं नागृह्ण	"कैकयी 

(रामायणे कैकयी रथेषु ऊषतुः)"	कौसल्या	राज्ञः दशरथस्य सा कौशल्या राज्ञी	"कैकेयी 

The answer is Kaushalya"
851	कुशनाभस्य पुत्र्यः कस्य क्रोधेन कुब्जाः जाता:?	वायोः		वायोः	"वायोः क्रोधेन कुशनाभस्य पुत्र्यः कुब्जाः जाताः

रामायणे वर्णितं यत् कुशनाभस्य"		शिवस्य	वायो:	कुशनाभस्य पुत्र्यः रामस्य क्रोधेन कुब्जाः जाता	कुशनाभस्य पुत्र्यः कुब्जाः जाताः	विश्वामित्रस्य क्रोधेन	अगस्त्यस्य	रावणस्य	दुर्वाससः क्रोधेन
852	वनवासकाले श्रीरामादिषु शृङ्गवेरपुरे प्राप्ते कः तेषां स्वागतं कृतवान्?	गुहः		गुहः	निषादराजः गुहः श्रीरामादीनां स्वागतं कृतवान्	निषादराजः	गुहः	निषादराजः	शृङ्गवेरपुरे श्रीरामं स्वागतं कृतवान् श्रीशबला	श्रीराम, सीता, लक्ष्मण, एवं हनुमान् तेषां स्वागतं कृतवान् वह उ	गुहः	गुहः	श्रीरामादिषु शृङ्गवेरपुरे प्राप्ते सुग्रीवः तेषां स्वागतं कृतवान्	ऋष्यश्रृङ्गः
853	श्रीरामः लक्ष्मणसीताभ्यां सहितः वनवासाय केन वेषेण गतः?	तपस्विनः वेषेण		तापसवेषेण	श्रीरामः लक्ष्मणसीताभ्यां सहितः वनवासाय तापसवेषेण गतः	"तपस्विवेषेण 

रामः वनवासी जीवनस्य अनुकरणं करोति इति दर्शयितुम्"	जटामण्डलधारी	मुण्डित-मस्तकेन वेषेण	श्रीरामः ऋषि-वेणु-वेणु-वेषेण वनवासाय गतः	श्रीरामः वनवासं गमिष्यन्ति कथं?	दण्डकारण्यम्	वनवासाय गच्छन् श्रीरामः क्षत्रियवेषेण गतः	अवदातवेषेण	क्षत्रियवेषेण
854	रामायणे किष्किन्धाकाण्डात् परं किं काण्डम् आगच्छति?	सुन्दरकाण्डम्		सुन्दरकाण्डम्	"सुन्दरकाण्डम्

किष्किन्धाकाण्डात् परं रामायणे सुन्दरकाण्डम् आगच्छति सुन्दरक"	सुन्दरकाण्डम्	सुन्दरकाण्डम्	सुन्दरकाण्डम्	रामायणे किष्किन्धाकाण्डात् परं युद्धकाण्डम् आगच्छति	किष्किन्धाकाण्डात् परं सुन्दरकाण्डं आगच्छति अत्र हनुमति श्रीरामस	सुन्दरकाण्डम्	सुन्दरकाण्डम्	युद्धकाण्ड	सुन्दरकाण्डम्
855	सः कः राक्षसः यः रावणाय सिताहरणस्य मन्त्रणां कृतवान् आसीत्?	अकम्पनः		मारीचः	"मारीचः

मारीचः नाम राक्षसः रावणाय सीताहरणस्य मन्त्रणां कृतवान् आसीत् सः एव रावणस्"	शूर्पणखा	मारीचः	शूर्पणखा	सः राक्षसः माण्डोदरी आसीत्	सः रावणस्य अनुयायी राक्षसः हनुमान् आसीत् एषः रामस्य सेनापत	मारीचः	मारीचः	मेघनादः	मारीच:
856	श्रीरामसीताभ्यां सह अन्यः कः वनम् अगच्छत्?	लक्ष्मणः		लक्ष्मणः	"लक्ष्मणः

श्रीरामसीताभ्यां सह लक्ष्मणः वनं गतवान् रामायणे वर्णितम् अस्ति यत"	लक्ष्मणः  भ्रातृभक्त्या	लक्ष्मणः	लक्ष्मणः	लक्ष्मणः वनम् अगच्छत्	"अगच्छत् doesn't make sense in this context The correct word should be अगच्छत् (agacchat), which means ""गच्छति"" in the third person singular masculine form"	लक्ष्मणः	लक्ष्मणः	सुमित्रा	लक्ष्मणः
857	सम्पातेः (गृध्रस्य) पक्षौ कथं दग्धौ अभवताम्?	सूर्यस्य प्रखरकिरणैः		सूर्येण	"सम्पातेः पक्षौ सूर्यसमीपं गमनेन दग्धौ अभवताम्

सम्पातिः स्वभ्रातुः जटायोः"	हनुमत्प्लुतेन हनुमान् लंकां दग्धवान् तदा सम्पातेः अपि पक्षौ दग्धौ	अग्निना	जटायुषा सह युद्धे	सम्पातेः पक्षौ दग्धौ अभवताम्, यदा रामः तेषां गृध्राणां वधं कर्तुम् अयाचत	सम्पातेः पक्षौ गृध्रस्य दग्धौ अभवताम् गृध्रः सम्पातिः ए	शापेन	सम्पातेः (गृध्रस्य) पक्षौ इन्द्रेण दग्धौ अभवताम्	सम्पाते गृध्रे द्वौ पक्षौ दग्धौ अभवन्	अगस्त्येन!
858	प्रहस्तः कः आसीत्?	रावणस्य सेनापतिः		रावणस्य सेनानायकः	प्रहस्तः रावणस्य प्रधानमन्त्री आसीत्	रावणस्य अनुजः	रावणस्य सचिवः	रावणस्य मन्त्री	प्रहस्तः रावणस्य एकः प्रमुखः सेनापतिः आसीत्	प्रहस्तः रावणस्य सेनापतिः आसीत्	वानरः	रावणस्य अनुजः	रावणः	राक्षसः आसीत्
859	महोदरः प्रहस्तः धूम्राक्षः मारीचः शुकः सारणः - एते सर्वे लङ्कायां केषु पदेषु स्थिताः आसन् ?	अमात्यपदे		मन्त्रिणः	"मन्त्रिषु

एते सर्वे रावणस्य मन्त्रिणः आसन् महोदरः, प्रहस्तः, धूम्राक्षः, मार"	**मन्त्रिपरिषदि**	मन्त्रिणः	द्वारेषु	एते सर्वे लङ्कायां रावणस्य सेवकाः आसन्	सर्वे एते वानररामायणकाव्ये प्रमुखाः वानराः अस्माकं प्रिये कथायाम् प	नियुक्ताः आसन्	महोदरः प्रहस्तः धूम्राक्षः मारीचः शुकः सारणः - एते सर्वे लङ्कायां मंत्रिपदेषु स्थिताः आसन्	रावणस्य सेनायां	"## लङ्कायां पदेषु स्थिताः

वृकाः"
860	लङ्कायाः गमनाय समुद्रे निर्मितः सेतुः केन निर्मितः आसीत्?	नलेन		हनुमता	"वानरैः

हनुमता नेतृत्वे वानरसेना रामस्य आज्ञया समुद्रे सेतुं निर्मितवती ते पर्वतान"	वानरैः  रामस्य आज्ञया वानरैः सेतुः निर्मितः	नलः	वानरैः	सेतुः रामेण निर्मितः आसीत्	सेतुः श्रीरामेण निर्मितः आसीत् श्रीरामः लङ्कायाः गमनाय समुद्र	"नल: 
समुद्रे निर्मितः सेतुः नल-नलेन निर्मितः आसीत्"	नलेन	रामायणे वर्णिते अनुसार, लङ्कायाः गमनाय समुद्रे निर्मितः सेतुः वानरराज वाली द्वारा निर्मितः आसीत्	वाणरः
861	ऋषेः भरद्वाजस्य गुरु: कः महर्षिः आसीत् ?	वाल्मीकिः		वल्मीकि:	भरद्वाजस्य गुरुः आङ्गिरसः महर्षिः आसीत्	वाल्मीकिः	वाल्मीकिः	वाल्मीकिः	महर्षिः वशिष्ठः आसीत्	ऋषेः भरद्वाजस्य गुरु: ऋषि च्यवनः आसीत् अस्ति आदौ ऋष	"विश्वामित्र: 

ऋषेः भरद्वाजस्य गुरु: महर्षि: विश्वामित्र: आसीत्"	ऋषेः भरद्वाजस्य गुरु: महर्षिः वाल्मीकिः आसीत्	अत्र भरद्वाज ऋषेः गुरु: अत्रि ऋषिः आसीत्	बृहस्पतिः
862	हनुमतः (लङ्कां गच्छतः)  बलं पराक्रमं च परिक्षितुं देवताः कं राक्षसीरूपेण मार्गे विघ्नमुत्पादयितुं प्रेषितवन्तः ?	सुरसा		सूर्यः	सुरसाम्	"इन्द्रः 

**कथम्?** सुरसाम् असुररूपिण्यां मायायां स्थापयित्वा"	सूर्पनखाम्	सुरसा	रावणः	हनुमान् लङ्कां गच्छन् देवताः परिक्षितुं बलं च पराक्रमं च प्रेषितवन	"सिंहिका

**कथम्?**

देवताः हनुमंतः परीक्ष्य शक्तिं तथा शौर्यं तं आशिषः अभ्यवदन्"	सूर्पणखा	रावणः	मेघनादः
863	सः कः राक्षसः यस्य मायया श्रीरामस्य कर्तितं शिरः दर्शयित्वा सीतां व्यकुलयितुं प्रयासम् अकरोत् ?	विद्युज्जिह्वः		मारीचः	"मारीचः

मारीचः नाम राक्षसः रावणस्य आदेशेन स्वमायया श्रीरामस्य कर्तितं शिरः निर्माय स"	रावणः  रावणः सीतां हर्तुम् इच्छति स्म	मारीचः	मारीचः	सः रावणः	रावणः राक्षसः अस्ति, यस्य मायया श्रीरामस्य कर्तितं शिरः दर्शय	रावणः	सः राक्षसः मारीचः आसीत्	मेघनादः	मायावी रावणः अयं प्रयत्नः अकरोत्
864	सीताया: स्वयंवरे गच्छद्भ्यां श्रीरामलक्ष्मणाभ्यां सहितः कः ऋषिः आसीत्?	विश्वामित्रः		विश्वामित्रः	विश्वामित्रः	विश्वामित्रः  रामलक्ष्मणयोः रक्षणार्थं गुरुणा नियुक्तः आसीत् विश्वामित्रः	विश्वामित्रः	विश्वामित्रः	वशिष्ठः ऋषिः आसीत्	स्वागतम् स्वयंवरे सीताया: अयं समयः अद्वारणे अयोध्यायां ग	विश्वामित्रः	विश्वामित्रः	विश्वामित्र ऋषिः	भरद्वाजः
865	रामरक्षास्तोत्रस्य' रचना केन कृता?	विश्वामित्रेण		बुद्धकौशिक-मुनीना	बुधकौशिकेन	बुधकौशिकेन  राक्षसबाधात् रक्षणार्थम् इति रामायणे उल्लिखितम्	बुधकौशिकेन	बुधकौशिकेन	रामरक्षास्तोत्रस्य रचना हनुमानः कृता	रामरक्षास्तोत्रं भगवान् बुध कृतमिति मन्यन्ते अतः रामरक्षास्त	बुधकौशिकः	बुधकौशिकेन	रामरक्षास्तोत्र की रचना महर्षि गर्गाचार्य ने की थी	बुधकौशिकेन
866	तारकासुरेण सह देवतानां युद्धे देवतानां सेनापति: कः आसीत्?	कार्त्तिकेयः		कार्त्तिकेय:	विष्णुः	कार्तिकेयः	इन्द्रः	कार्तिकेयः	इन्द्रः	तारकासुरेण सह देवतानां युद्धे देवतानां सेनापतिरिन्द्र: आसीत्	कार्तिकेयः	कार्तिकेय:	इन्द्रः	कार्तिकेयः
867	देवतायाः चिकित्सकः कः आसीत्?	अश्विनिकुमारौ		धन्वन्तरिः	धन्वन्तरिः	अश्विनीकुमारौ	धन्वन्तरिः	सुषेणः	देवतायाः चिकित्सकः दाक्षिणात्यः कुबेरः आसीत्	रामायणे देवतायाः चिकित्सकः अश्विनौ आसीताम् तौ देवतायां च	अश्विनीकुमाराः	देवतायाः चिकित्सकः सुषेणः आसीत्	देवतायाः चिकित्सकः धन्वन्तरिः आसीत्	अश्विनीकुमारौ
868	पुष्पकविमानस्य निर्माणं केन कृतम्?	विश्वकर्मणा		विश्रवसा	पुष्पकविमानस्य निर्माणं विश्वकर्मणा कृतम्	विश्वकर्मणा	पुष्पकविमानस्य निर्माणं विश्वकर्मणा कृतम्	विश्वकर्मणा	पुष्पकविमानस्य निर्माणं विश्वकर्मणा कृतम्	पुष्पकविमानं हिरण्यकशिपुः रावणेन निर्मितम् इति रामायणे वर	विश्वकर्मणा	पुष्पकविमानस्य निर्माणं विश्वकर्मणा कृतम्	रवणेन	विश्वकर्मा
869	रावणस्य शरीरं कस्य वर्णस्य आसीत्?	कृष्णवर्णस्य		कृष्णवर्णम्	"नीलवर्णस्य

रावणस्य शरीरं नीलवर्णस्य आसीत् इति रामायणे वर्णितम् सः मेघसदृशः क"	नीलः  यतः रावणः नीलवर्णः इति वर्णितः अस्ति	नीलस्य	नीलवर्णस्य	रावणस्य शरीरं श्वेतवर्णस्य आसीत्	रावणस्य शरीरं कृष्णवर्णं आसीत्	श्यामः	नीलम्	रावणस्य शरीरं कृष्णवर्णस्य आसीत्	श्याम
870	श्रीरामस्य शरीरस्य वर्णः कः आसीत्?	नीलः		पीतः	"नीलः

श्रीरामस्य शरीरवर्णः नीलः आसीत् रामायणे श्रीरामः नीलमेघश्यामः इति वर्णित"	श्यामः  यतः रामायणे एवम् वर्णितम्	श्यामः	श्रीरामस्य शरीरस्य वर्णः श्यामः आसीत्	श्रीरामस्य शरीरस्य वर्णः श्वेतः आसीत्	श्रीरामस्य शरीरस्य वर्णः तद्रूपोऽयम् - मानुष्यः	नीलः	श्रीरामस्य शरीरस्य वर्णः श्यामः आसीत्	श्रीरामस्य शरीरस्य वर्णः श्यामः आसीत्	नीलः
871	लक्ष्मणस्य शरीरं कस्य वर्णस्य आसित् ?	गौरवर्णस्य		गौरवर्णम्	"लक्ष्मणस्य शरीरवर्णः कनकाभः आसीत्

रामायणे लक्ष्मणस्य वर्णनं कृष्णपक्ष"	श्यामम्	श्यामवर्ण	लक्ष्मणस्य शरीरं सुवर्णवर्णस्य आसीत्	लक्ष्मणस्य शरीरं श्वेतवर्णस्य आसित्	लक्ष्मणस्य शरीरं पीतवर्णं आसीत्	श्याम肤色ं	लक्ष्मणस्य शरीरं श्यामवर्णस्य आसीत्	लक्ष्मणस्य शरीरं कृष्णवर्णस्य आसीत्	श्यामः
872	भरतस्य शरीरं कस्य वर्णस्य आसित् ?	नीलवर्णस्य		श्यामवर्णम्	"भरतस्य शरीरवर्णः श्यामः आसीत्

रामायणे भरतस्य वर्णनं करोति वाल्मीकिः - ""श्यामं क"	श्यामम्	श्यामवर्णस्य	भरतस्य शरीरं श्यामवर्णस्य आसीत्	भरतस्य शरीरं श्वेतवर्णस्य आसित्	भरतस्य शरीरं कृष्णवर्णं आसीत्	कृष्णः	श्यामवर्णम्	भरतस्य शरीरं श्यामवर्णस्य आसीत्	कृष्णस्य
873	श्रीरामस्य आज्ञया सीतां वने त्यक्तुं कः गतः ?	लक्ष्मणः		लक्ष्मणः	लक्ष्मणः	लक्ष्मणः  रामस्य आज्ञा इति भ्रातृवाक्यस्य पालनम् धर्मः इति लक्ष्मणस्य विचारः आसीत्	लक्ष्मणः	लक्ष्मणः	रामः	श्रीरामस्य आज्ञया सीतां वने त्यक्तुं हनुमान् गतः	लक्ष्मणः	लक्ष्मणः	वानरराजः हनुमान्	लक्ष्मणः
874	देवतानां गुरु: कः आसीत् ?	बृहस्पतिः		बृहस्पतिः	बृहस्पतिः	बृहस्पतिः	बृहस्पतिः	बृहस्पतिः	देवतानां गुरु: ब्रह्मा आसीत्	देवतानां गुरुः बृहस्पतिः आसीत् बृहस्पतिः गुरुग्रहः अस्ति	"बृहस्पतिः 

एषः श्लोकः रामायणे बालकाण्डे १३१२८श्लोके वर्तते

> यज्ञानां तु महातेजा बृहस्पतिरधिपतिः"	बृहस्पतिः	बृहस्पति: देवतानां गुरु: आसीत्	शुक्रः
875	असुराणां गुरु: कः आसीत् ?	शुक्राचार्यः		शुक्रः	शुक्राचार्यः	शुक्राचार्यः	शुक्रः	शुक्राचार्यः	असुराणां गुरु: शुक्राचार्यः आसीत्	असुराणां गुरु: शुक्राचार्य: आसीत् शुक्राचार्य: बृहस्पतेः पुत्र:	शुक्राचार्यः	शुक्राचार्य:	असुराणां गुरु: शुक्राचार्य आसीत्	**शुक्राचार्यः**
876	रावणः तथा मान्धाता इत्यनयोः मध्ये  शान्तिं स्थापयितुं कः महर्षिः मध्यस्थतां कृतवान्?	गालवः		अत्रि	क्षमस्व, रामायणे रावणस्य मान्धातुश्च मध्ये शान्तिं स्थापयितुं कस्यचिदपि महर्षेः मध	पूलस्त्यः  रावणस्य मान्धाता च पूलस्त्यवंशोद्भवत्वात्	व्यासः	गौतमः	महर्षिः वाल्मीकिः मध्यस्थतां कृतवान्	महर्षिः विश्वामित्रः मध्यस्थतां कृतवान्	विश्वामित्रः	विश्वामित्रः	विश्वामित्रः	देवलः
877	गाधेः जन्म कस्य यज्ञस्य करणात् अभवत् ?	पुत्रेष्टियज्ञस्य		वसिष्ठस्य	विश्वामित्रस्य जन्मविषये प्रश्नोऽयम् गाधिः विश्वामित्रस्य पिता आसीत् गाधेः जन्	विश्वामित्रस्य	पुत्रेष्टि	पुत्रकामेष्टि	गाधेः जन्म अश्वमेध-yajñe करणात् अभवत्	गाधेः जन्म मुनिर्यज्ञस्य करणात् अभवत्	मम नासा!	अश्वमेध-यज्ञस्य करणात्	गाधि रामायणातील एका यज्ञातून जन्मला	समधानेन
878	मेघनादेन प्रयुक्तेन नागपाशेन बद्धौ श्रीरामलक्ष्मणौ कः मुक्तवान्?	गरुडः		गरुडः	गरुडः	"गरुडः  

रामलक्ष्मणयोः भ्रातृप्रेम्णा प्रभावितः गरुत्मान्  नागपाशान् नाशितवान्"	गरुडः	गरुडः	हनुमानः मुक्तवान्	मेघनाद एव श्रीरामलक्ष्मणौ नागपाशेन बद्धौ कः मुक्तवान् इति	गरुडः	गरुडः	रामः	गरुड़ः
879	विष्णुः वामनरूपेण कस्य गर्भात् जातः?	अदितेः		अदितेः	विष्णुः वामनरूपेण अदितेः गर्भात् जातः	अदितिः	अदितेः	कश्यपस्य	विष्णुः वामनरूपेण दिति-गर्भात् जातः	विष्णुः वामनरूपेण बलिराजस्य गर्भात् जातः बलिराजः दैत्यर	कश्यपस्य	अदितेः	वामनरूपेण विष्णुः भृगुनन्द्री गर्भात् जातः	कश्यपः
880	रामादिषु चतुर्षु भ्रातृषु द्वितीयः कः आसीत्?	भरतः		भरतः	"भरतः

रामायणे वर्णितानुसारं, दशरथस्य चत्वारः पुत्राः आसन् - रामः, भरतः, लक्ष्मणः"	भरतः	लक्ष्मणः	लक्ष्मणः	लक्ष्मणः	द्वितीयः भ्राता भरतः आसीत् अनुज्ञाता च तस्य स्वयंभूर्महर	लक्ष्मणः	भरतः	लक्ष्मणः	लक्ष्मणः
881	म्लेच्छानां उत्पत्तिः कुतः अजायत?	कामधेनोः रोमकूपात्		रामायणस्य अनुसारं, म्लेच्छानां उत्पत्तिः वसिष्ठस्य शापात् अजायत	रामायणानुसारं, म्लेच्छानाम् उत्पत्तिः वाल्मीकेः कथनानुसारं गायस्य पुत्रेभ्यः अ	पुराणकथनानुसारम्	विश्वामित्र-शापात्	वाल्मीकि-रामायणे उत्तरकाण्डे वर्णितमस्ति यत् म्लेच्छानां उत्पत्तिः वाराहावतारे विष्णुना हतस्य हिरण्याक्षस्य नासिक	म्लेच्छानां उत्पत्तिः ब्रह्मा इव तात्त्विक-सम्बन्धेन कृतं, यत्र ते अन्यजातीयानां जनानां कृते आचार-व्यवहारात् विलग्नाः सन्ति	म्लेच्छाः भारतीय भाषासु न बोधयितुं शक्नुवन्तः ते अस्मिन् व	ब्रह्मणः यज्ञशिरसः मूर्द्धनः	म्लेच्छानां उत्पत्तिः सुरापानात्	"म्लेच्छानां उत्पत्तिः कुतः अजायत इति प्रश्ने प्रत्युत्तरम्

म्लेच्छानां उत्पत्तिः कुतः अजायत इति प्रश्ने प्रत्युत्तरम्

म्लेच्छ"	ऋषभदेवात्!
882	हनुमन्तं प्रथमतः कः रावणस्य पुरतः नीतवान्?	मेघनादः		मेघनादः	"रावणस्य पुरतः हनुमन्तं प्रथमतः नीतवान् प्रहस्तः

प्रहस्तः रावणस्य सेनापतिः आ"	विभीषणः  रावणस्य सभायां हनुमन्तं कः रावणं प्रति उपस्थापितवान् इति प्रश्नस्य उत्तरम् अस्ति विभीषणः	विभीषणः	शुकः	रामः	हनुमान् रामस्य दूतः आसीत् अयं तस्य प्रथमः रावणस्य पुरं नीतव	"सचीव: 
सचीवः हनुमन्तं प्रथमतः रावणस्य पुरः नीतवान्"	मारीचः	रावणस्य पुरतः हनुमानं प्रथमतः सुग्रीवः नीतवान्	दूतः
883	ऋक्षबिले (गुहायां) हनुमदङ्गदादिभिस्सह कस्य साक्षात्कारः अभवत्?	स्वयंप्रभायाः		संपातेः	सम्पातेः	सीतायाः	सीतायाः	सुग्रीवस्य	ऋक्षबिले हनुमदङ्गदादिभिस्सह रामस्य साक्षात्कारः अभवत्	ऋक्षबिले गुहायां हनुमदङ्गदादिभिः सह श्रीरामः दर्शनं प्राप्तवान	बालिनेः	सीतायाः	रामस्य	ऋक्षबिले हनुमदङ्गदादिभिः सह श्रीरामलक्ष्मणयोः साक्षात्कारः अभवत्
884	वनवासकाले श्रृङ्गवेरपुरे श्रीरामस्य पादौ कः प्राक्षालयत्?	केवटः		गुहः	"गुहः

गुहः निषादराजः श्रृङ्गवेरपुरे श्रीरामस्य पादौ प्रक्षालितवान् रामायणे वर्"	भरतः  दुःखितः भरतः रामं पुनः राज्येऽभिषेक्तुम् इच्छति स्म	शबरी	निषादराजः	श्रीरामस्य पादौ शबालि प्राक्षालयत्	श्रीरामस्य पादौ जानकी	शबरी	गुहः	सुग्रीवः	शबरी
885	गायत्रीमन्त्रे कस्य देवस्य आराधना अस्ति?	सूर्यस्य		सवितुः	"सवितुः

गायत्रीमन्त्रे सूर्यदेवस्य अथवा सवितृदेवस्य आराधना अस्ति अयं मन्त्र"	सवितुः   सूर्यदेवस्य तेजः प्राप्तुं गायत्रीमन्त्रेण तस्य आराधना क्रियते	सवितुः	सविता	गायत्रीमन्त्रे सूर्यदेवस्य आराधना अस्ति	गायत्रीमन्त्रे सूर्यदेवस्य आराधना अस्ति गायत्रीमन्त्रः सूर्यद	सूर्यस्य	सूर्यदेवस्य	गायत्रीमन्त्रे विष्णोः आराधना अस्ति	"सवितुः 

सवितृ मण्डलम् एव गायत्री मन्त्रः कथितः 

प्रत्येकस्य पदस्य अर्थः अस्ति  

सवितृ = सूर्यः

वरं = श्रेष्ठः

देव"
886	पञ्चवट्यां सीताया: कुट्याः पुरतः रेखां कः अलिखत्?	लक्ष्मणः		लक्ष्मण:	लक्ष्मणः	लक्ष्मणः रावणस्य भयात् सीतायाः रक्षणार्थम्	लक्ष्मणः	लक्ष्मणः	रामः अलिखत्	पञ्चवट्यां सीतायाः कुट्याः पुरतः रेखां हनुमान् अलिखत्	लक्ष्मण:	लक्ष्मणः	रामः	लक्ष्मणः
887	कः स ऋषिः यः 'मरा-मरा' इति जपं कृत्वा तपः अकरोत्?	वाल्मीकिः		वाल्मीकिः	अगस्त्यः	विश्वामित्रः  क्रोधवशात्	विश्वामित्रः	वाल्मीकिः	वशिष्ठः	स ऋषिः अश्वलायनः ऋषिः आसीत् तेन तपसा अतीन्द्रियः जानकीं अप	मरीचि:	विश्वामित्रः	अगस्त्यः	"मार्कण्डेयः

सः ऋषिः अमरत्वं प्राप्तुं तपः अकरोत्"
888	लोकपालानां गजाः किम् उच्यन्ते?	दिग्गजाः		दिग्गजाः	दिग्गजाः	दिग्गाजाः	दिग्गजाः	दिग्गजाः	"लोकपालानां गजाः ""गज"" इत्युच्यन्ति"	लोकपालानां गजाः वाहनानि उच्यन्ते	दिग्गजाः	दिग्गजाः	गजभ्राता	दिग्गजाः
889	दशरथः कस्मै नृपतये स्वपुत्रीं पोष्यपुत्रिकारूपेण अयच्छत्?	रोमपादाय		लोपामुद्रायै	"दशरथः रोमपादाय स्वपुत्रीं शान्तां पोष्यपुत्रिकारूपेण अयच्छत्

रोमपादः अङ्ग"	जनकः  दशरथस्य मित्रम् जनकः सीतायाः पालनं कृतवान्	जनकाय	लोमपादाय	दशरथः कौशल्यायाम् स्वपुत्रीं पोष्यपुत्रिकारूपेण अयच्छत्	दशरथः कैकेय्यै राज्यं प्राप्त्यै भरतस्य जन्मना सह राजा अभूत	जनकाय	दशरथः स्वपुत्रीं शान्तां रोमपादाय नृपतये पोष्यपुत्रिकारूपेण अयच्छत्	दशरथः रामायच्छत्	जनकाय
890	यदा श्रीरामः स्वर्णमृगं बाणेन हत्वा पातितवान् तदा तस्य मुखात् विलापस्वरेण किम् निर्गतम्?	हा लक्ष्मण!		हे लक्ष्मण!	"यदा श्रीरामः स्वर्णमृगं (मारीचं) बाणेन हत्वा पातितवान्, तदा तस्य मुखात् ""हा सीते लक"	"मारुतिः  

तस्य मुखात् मारुतिः इति शब्दः निर्गतः यतः स्वर्णमृगरूपेण मारुतिः एव आसीत्"	लक्ष्मण	हा सीते लक्ष्मण इति	"यदा श्रीरामः स्वर्णमृगं बाणेन हत्वा, तदा तस्य मुखात् ""अहं किमर्थं मृगं हतवान्?"" इति विलापस्वरः निर्गतः"	"श्रीरामस्य मुखात् विलापस्वरः ""हतो वा प्राणः प्रयाति"" इत्येव निर्गत"	"श्रीरामः यदा स्वर्णमृगं बाणेन हत्वा पातितवान्, तदा तस्य मुखात् विलापस्वरेण **""हा लक्ष्मणा""** इत्येव निसृतम्"	मारिष्टाम्	तदा विषम्	"हृष्टः 

हृष्ट शब्द का उल्लेख वाल्मीकि रामायण में है लेकिन यहाँ पर हृष्ट शब्द का अर्थ क्रोध से है क्योंकि श्री राम इस बात से क्रोधित हो गए थे कि वह स्वर्ण मृग को मारने में"
891	भरतस्य कः मंत्री श्रीरामस्य वनवासात् अयोध्याप्रत्यागमने तेषां स्वागतं कर्तुं गतः आसीत्?	अर्थसाधकः		सुमन्त्रः	"सुमन्त्रः

सुमन्त्रः रामायणे अयोध्याकाण्डे वर्णितः प्रमुखो मन्त्री आसीत् स ए"	शतृघ्नः	गुहः	हनुमान्	शत्रुघ्नः	भरतस्य मंत्री यो गतः आसीत्, तेन अयोध्याप्रत्यागमने तेषां स्वागतं	सुग्रीवः	भरतस्य मंत्री श्रीरामस्य वनवासात् अयोध्याप्रत्यागमने तेषां स्वागतं कर्तुं गतः आसीत्	सुमन्त्रः	सुमन्त्रः
892	महर्षये वाल्मीकये रामकथां कः श्रावितवान्?	नारदः		नारदः	"नारदः

महर्षिः नारदः एव वाल्मीकये रामकथां श्रावितवान् नारदः देवर्षिः सन् त्रैलोक्यसञ"	नारदः	ब्रह्मा	नारदः	महर्षिः नारदः रामकथां श्रावितवान्	वाल्मीकि महर्षेः अयं रामकथाश्रवणे अत्यन्तं प्रसिद्धः भवति त	लवकुशः	नारदः	विश्वामित्र ऋषि	हनुमान्
893	रभसनामकं यौद्धिकविधिं श्रीरामः कस्मात् अधिगतवान् आसीत्?	विश्वामित्रात्		वसिष्ठात्	"श्रीरामः रभसनामकं यौद्धिकविधिं अगस्त्यमुनेः अधिगतवान् आसीत्

रामायणे वर्णितं य"	विश्वामित्रात्   रामलक्ष्मणाभ्यां रावणविजयार्थं यदा वरदानं याचितं तदा	विश्वामित्रात्	विश्वामित्रात्	श्रीरामः रभसनामकं यौद्धिकविधिं रामाधिवृत्तयाः काकभुशुण्डि-उपदेष्टृणां च श्रवणेन अधिगतवान्	रभसनामकं यौद्धिकविधिं श्रीरामः जानकीम् प्राप्य अधिगतवान् आसी	शिष्टाचारात्	रभसनामकं यौद्धिकविधिं श्रीरामः विश्वामित्रेण अधिगतवान् आसीत्	रामायणे रामः रावणस्य सेनायाम् अधिकृतः युद्धकारी आसीत् रामायणे रामः रावणस्य सेनायाम् अधिकृतः युद्धकारी आसीत्	विश्वामित्राद्
