ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
912	हहा हूहू च कौ आस्ताम्?	गन्धर्वौ		राक्षसौ	रामायणे वानरसैन्यस्य वीरौ हहा हूहू च आस्ताम्	वानरौ हनुमता सह गच्छन्तौ	पक्षिणौ	वानरौ	हहा हूहू च रामायणस्य कन्दर्पकौमारम् अस्ति	नास्ति	सखायाः	हहा हूहू राक्षसौ आस्ताम्	हाहाहा! ते दोन्ही कुत्रे आहेत
913	अनलः, अनिलः, हरः, सम्पातिः च एते कस्य मन्त्रिणः आसन्?	विभीषणः		रावणस्य	सुग्रीवस्य	"**सुग्रीवस्य** 

सुग्रीवः एतान् सर्वान् वालिनः वधाय सहायतां प्राप्तुम् आदिदेश"	सुग्रीवस्य	सुग्रीवस्य	एते नलस्य मन्त्रिणः आसन्	हनुमान्, अङ्गदः, जाम्बवान्, नीलः च एते रामस्य मन्त्रिणः आसन्	हनुमान्	अनलः, अनिलः, हरः, सम्पातिः च एते वानरराजस्य सुग्रीवस्य मन्त्रिणः आसन्	अनलः, अनिलः, हरः, सम्पातिः च वायु-देवतानां मन्त्रिणः आसन्
914	सर्वतापनः कस्य नाम अस्ति?	सूर्यस्य		रावणस्य	सर्वतापनः रावणस्य नाम अस्ति	सूर्यस्य	रावणः	सूर्यस्य	सर्वतापनः रामस्य नाम अस्ति	सर्वतापनः अग्नेः नाम अस्ति	रामः	सर्वतापनः श्रीरामस्य नाम अस्ति	सर्वतापनः भगवान शिवाचे नाव आहे
915	हनुमन्तं समुद्रस्य लङ्घनाय कः प्रेरितवान्?	जाम्बवान्		जाम्बवान्	जाम्बवान्	जाम्वन्तः  हनुमन्तं स्वशक्तिः स्मारितवान्	जाम्बवान्	जाम्बवान्	रामः प्रेरितवान्	हनुमान् समुद्रस्य लङ्घनाय रामस्य प्रेरितवान्	रामः	जाम्बवान्	रामः
916	लंकाक्रमणाय समुद्रे सेतुं बन्धयितुं वानरैः शिलासु कः शब्दः लिखितः?	रामः		राम	"रामनाम

वानराः समुद्रे सेतुं निर्मातुं शिलासु ""राम"" इति नाम लिखित्वा तास् जले क्षिप्तवन"	श्रीरामः	रामः	राम	"""सेतु"" शब्दः लिखितः"	"शिलासु सेतुं बन्धयितुं वानरैः लिखितः शब्दः ""नन"""	रामः	राम	राम
917	अशोकवाटिकायां हनुमान् किंकरनामकान् यान् राक्षसान् हतवान्, तान् कः प्रेषितवान्?	रावणः		रावणः	रावणः	**रावणः**  रावणः हनुमन्तं बाधितुं किंकरान् प्रेषितवान्	रावणः	रावणः	हनुमानं अशोकवाटिकायां रावणस्य आज्ञया प्रेषितान् किंकरान् हतवान्	हनुमान् रामस्य दूतः अभवत् रामः सुग्रीवाय सह कपीन् श्वेतच्छ	रावणः	रावणः	रावणाने
918	कृष्णमुखवानराणां यूथपतिः कः आसीत्?	गवाक्षः		सुग्रीवः	सुग्रीवः	अङ्गदः  सुग्रीवपुत्रः आसीत्	हनुमान्	द्विविदः	कृष्णमुखवानराणां यूथपतिः विभीषणः आसीत्	कृष्णमुखवानराणां यूथपतिः सुग्रीवः आसीत्	हनुमान्	हनुमान्	अंगदः
919	वानराणाम् उत्पत्तिः केभ्यः अभवत्?	देवताभ्यः गन्धर्वेभ्यश्च; देवेभ्यः		देवेभ्यः	"वानराणाम् उत्पत्तिः देवेभ्यः अभवत्

रामायणानुसारं, विभिन्नदेवाः ऋषयश्च स्वां"	"ब्रह्मणः  
ब्रह्मा विविधेषु सृष्टि-कार्येषु वानरान् अपि असृजत्"	देवानाम्	ब्रह्मणः	वानराणाम् उत्पत्तिः पञ्चजनात् अभवत्	वानराणाम् उत्पत्तिः अगस्त्यमुनाप्रमुखैः मुनिभिः उत्पन्ना इति	वायवे:	देवताभ्यः	वानराणां उत्पत्तिः वानरराजा वालि-राज्ञः पुत्रेण सुग्रीवेण अभवत्
920	राज्ञः दशरथस्य पुत्र्याः विवाहः केन अभवत्?	ऋष्यशृङ्गेण		रामेण	"रामेण

राज्ञः दशरथस्य पुत्री सीता आसीत् सीतायाः विवाहः रामेण सह अभवत्"	रामस्य मातुला भ्रात्रा भरतेन	रामेण	श्रीरामेण	राज्ञः दशरथस्य पुत्र्याः विवाहः रामेन अभवत्	राज्ञः दशरथस्य पुत्र्याः विवाहः कैकेय्याम् अभवत् एषा कारण	"रामः  

राज्ञः दशरथस्य पुत्रः रामः नाम, सीतायाः विवाहः अभवत्"	श्रुतकीर्तिः, श्रुतकीर्तिः कुशध्वजस्य पत्नी अभवत्	श्रीरामेण
921	सीता-हरणकाले प्रकृतायाः सीतायाः स्थाने मायया निर्गतायाः सीतायाः सृष्टिः केन कृता आसीत्?	अग्निना		इन्द्रजालेन	रावणेन	अग्निना रावणात् सीतां रक्षितुं अग्निदेवेन माया सीता निर्मिता	अग्निना	अग्निना	सीतायाः मायया निर्गता सृष्टिः मारीचेन कृता आसीत्	सीतायाः सृष्टिः अयोध्यायां रामेण कृता आसीत् रामः अयोध्य	माया-सीतायाः सृष्टिः रावणेन	अगस्त्य-मुनेः पुत्रेण अग्निवेश्येण कृता आसीत्	रावणेन
922	शुकसारणौ च लङ्कायां कस्मिन् पदे आसाताम् ?	अमात्यपदे		दूतौ	चारौ	**अशोकवनिकायम्**  रावणः सीताम् अशोकवनिकायम् अनयत्	वृक्षशाखायाम्	माल्यवत्प्रस्थे	"शुकसारणौ च लङ्कायां ""दशरथ"" पदे आसाताम्"	शुकसारणौ च लङ्कायां रावणस्य अशोकवनिकायाम् आसताम् तयोः	अशोकवने	शुकसारणौ च लङ्कायां राक्षसपदे आसाताम्	शुकसारणौ च लङ्कायां रामायणे रावणस्य वधे पूर्वं रामेण रावणस्य सेनायाम् आसन्
923	महोदरः राक्षसः रावणस्य कः आसीत् ?	भ्राता		भ्राता	महोदरः रावणस्य मन्त्री आसीत्	दशाननः	भ्राता	महोदरः राक्षसः रावणस्य मन्त्री आसीत्	महा-राक्षसः रावणः कुम्भकर्णः आसीत्	महोदरः राक्षसः मेघनादः आसीत्	अनुजः	महोदरः राक्षसः रावणस्य भ्राता आसीत्	महोदरः रावणस्य पुत्रः आसीत्
924	यदा सूर्यं ग्रहीतुं हनुमान् अप्लवत तदा कः ग्रहः सूर्ये ग्रहणं सम्पादयितुम् इच्छति स्म ?	राहुः		राहुः	राहुः	राहुः राहुः सूर्यं प्रति शत्रुभावं धरति	राहुः	राहुः	तदा राहुः सूर्ये ग्रहणं सम्पादयितुम् इच्छति स्म	हनुमान् अप्लुत्य तदा राहुः सूर्ये ग्रहणं सम्पादयितुं इच्छति	राहुः	राहुः	राहु
925	सः कः ऋषिः यः रामायणस्य अधिकांशघटनानां पूर्वं दर्शनम् अकरोत्?	वाल्मीकिः		वाल्मीकि	"नारदः

नारदऋषिः रामायणस्य अधिकांशघटनानां पूर्वदर्शनम् अकरोत् वाल्मीकिना रामायण"	वाल्मीकिः   सः नारदस्य मुखात् श्रुत्वा दुःखितः ततः रामायणं रचितवान्	वाल्मीकिः	ब्रह्मा	वाल्मीकि ऋषिः	ऋषिः वाल्मीकिः अस्ति, यः रामायणस्य अधिकांशघटनानां पूर्वं	वाल्मीकिः	कौशिक ऋषिः	वाल्मीकि ऋषिः
926	विजयादशम्या पर्व कस्य मासस्य कस्यां तिथौ आचर्यते?	आश्विनशुक्लदशम्याम्; आश्विनमासस्य  शुक्लपक्षस्य  दशम्याम्; आश्विनस्य शुक्लदशम्याम्; आश्विनमासस्य शुक्लपक्षस्य दशम्यां तिथौ		आश्वयुजस्य दशम्या तिथौ	विजयादशमी पर्व आश्विनमासस्य शुक्लपक्षस्य दशम्यां तिथौ आचर्यते	आश्विनमासस्य शुक्लपक्षस्य दशम्यां तिथौ	आश्विनमासस्य दशम्याम्	आश्विनमासस्य शुक्लपक्षस्य दशम्यां तिथौ विजयादशमी पर्व आचर्यते	विजयादशम्या पर्व आश्वयुज मासे, शुक्लपक्षे, दशमी तिथौ आचर्यते	विजयादशमी पर्वः दशहरा इत्यपि विख्यातः एषः पर्वः भारतीय	आश्विनमासे शुक्लपक्षस्य दशम्यां तिथौ विजयादशम्या पर्व आचर्यते	विजयादशम्या पर्व आश्विनमासस्य शुक्लपक्षस्य दशम्यां तिथौ आचर्यते	विजयादशमी महिना अश्विन महिन्यातील दशमी तिथी आहे
927	श्रीरामेण सेतुबंधकाले रामेश्वरस्य स्थापनं मासस्य कस्यां तिथौ कृतम् आसीत्?	ज्येष्ठशुक्लदशम्याम्		शिवरात्रिः	रामेश्वरस्य स्थापनं श्रीरामेण चैत्रमासस्य पौर्णमास्यां कृतम् आसीत् इति पौराणिक-क	मार्गशीर्षस्य  रामेश्वरस्थापनं मार्गशीर्षमासे कृतम्	माघे	माघशुक्लचतुर्दश्यां	श्रीरामेण सेतुबंधकाले रामेश्वरस्य स्थापनं शुक्लपक्षे पूर्णिमायां तिथौ कृतम् आसीत्	श्रीरामेण सेतुबंधकाले रामेश्वरस्य स्थापनं चैत्रमासस्य शुक्लपक्षे	कृष्णपक्षः षष्ठी दिने	श्रावणमासस्य कृष्णपक्षस्य पञ्चम्यां तिथौ	रामायणे सेतुबंधकाले रामेश्वरस्य स्थापनं मासस्य कृष्णपक्षे पूर्णिमायां कृतम् आसीत्
928	शत्रुघ्नस्य जन्म कस्मिन् नक्षत्रे अभवत् ?	आश्लेषा		अश्लेषा	आश्लेषा	श्रवणः	अश्विनी	पुष्य नक्षत्रे	शत्रुघ्नस्य जन्म रोहिणी नक्षत्रे अभवत्	शत्रुघ्नः चैत्र नक्षत्रे जातः इति ज्ञायते	पुनर्वसु	मूल-नक्षत्रे	शत्रुघ्नस्य जन्म मघा नक्षत्रे अभवत्
929	का देवता 'काशीनाथः' कथ्यते?	शिवः; विश्वनाथः		शिवः	शिवः	शिवः	शिवः	शिवः	काशीनाथः शिवः अस्ति	काशीनाथः एक अन्य प्रसिद्ध नाम भगवान शिवस्य उपास्य देवता है व	विष्णु:	शिवः	काशीनाथः शिवः
930	राज्ञः दशरथस्य मृत्युवृत्तान्तः भरताय केन उक्तः आसीत् ?	कैकेय्या		वासिष्ठेन	"वसिष्ठेन

राज्ञः दशरथस्य मृत्युवृत्तान्तः भरताय वसिष्ठेन उक्तः आसीत् वस"	सुमन्त्रः  सुमन्त्रो भरताय दशरथस्य मृत्युसमाचारम् अयोध्यां गत्वा अश्रुपूर्णनेत्रोऽभवत्	वसिष्ठेन	वसिष्ठेन	राज्ञः दशरथस्य मृत्युवृत्तान्तः कौकस्य द्वारा भरताय उक्तः आसीत्	"राज्ञः दशरथस्य मृत्युवृत्तान्तः भरताय केन उक्तः आसीत्?
भरत"	सुमन्त्रेण	राज्ञः दशरथस्य मृत्युवृत्तान्तः भरताय वशिष्ठेन उक्तः आसीत्	रामायणे भरताय दशरथस्य मृत्युवृत्तान्तं विश्वामित्रेण उक्तः आसीत्
931	राज्ञः दशरथस्य मृत्योरनन्तरं कस्यचित् राजपुत्रस्य अनुपस्थितेः कारणात्, तस्य शवः कस्मिन् तरलद्रव्ये निमज्य स्थापितः आसीत्?	तैले		तैले	"तैले

राज्ञः दशरथस्य मृत्योरनन्तरं रामस्य अनुपस्थितेः कारणात् तस्य शवः तैले निमज्"	तैलम्  कारणम् - भरतः अयोध्यायां नास्ति इति	तैले	तैले	राजपुत्रस्य अनुपस्थितेः कारणात् दशरथस्य शवः गङ्गायाम् निमज्य स्थापितः आसीत्	राजपुत्रस्य रामस्य शवः तरलद्रव्ये निमज्य स्थापितः आसीत्	**मधु**	तैले	राज्ञः दशरथस्य मृत्योरनन्तरं कस्यचित् राजपुत्रस्य अनुपस्थितेः कारणात्, तस्य शवः गंगायाम् निमज्य स्थापितः आसीत्
932	विश्वामित्रं 'महर्षिः' इति उपाधिना कः देवः विभूषितवान्?	ब्रह्मा		ब्रह्मा	"इन्द्रः

विश्वामित्रं 'महर्षिः' इति उपाधिना इन्द्रः देवः विभूषितवान् रामायणे वर्णितं"	ब्रह्म   तपसा प्रीतः	ब्रह्मा	ब्रह्मदेवः	विश्वामित्रं 'महर्षिः' इति उपाधिना ब्रह्मा देवः विभूषितवान्	"विश्वामित्रं 'महर्षिः' इति उपाधिना कः देवः विभूषितवान्?

विश्व"	महादेव:|	ब्रह्मा	विश्वामित्रं 'महर्षिः' इति उपाधिना विष्णुः विभूषितवान्
933	लवणासुरस्य वधाय श्रीरामः कम् प्रेषितवान्?	शत्रुघ्नम्		शत्रुघ्नम्	श्रीरामः लवणासुरस्य वधाय शत्रुघ्नं प्रेषितवान्	शत्रुघ्नम्	हनुमन्तम्	शत्रुघ्नम्	श्रीरामः हनुमन्तं प्रेषितवान्	श्रीरामः लवणासुरस्य वधाय प्रेषितवान् न काकस्य दर्पणात् किन्तु	हनुमान्	श्रीरामः सीतायाः अपहरणेन क्रुद्धः लवणासुरं वधाय श्री हनुमन्तं प्रेषितवान्	श्रीरामः सीताहरण-वधाय रावणम् प्रेषितवान्
934	शुक्राचार्यस्य सर्वं शिल्पवैभवं प्राप्तुं मयासुरः कस्य तपः अकुरुत?	ब्रह्मणः		शिवस्य	"पुरुषोत्तमस्य 

मयासुरः ब्रह्मदेवस्य तपः अकरोत् शुक्राचार्यस्य सर्वं शिल"	शिवाय   मयासुरः शिवस्य तपः अकरोत्	भृगुवंशस्य	ब्रह्मदेवस्य	मयासुरः भगवान् शिवस्य तपः अकुरुत	शुक्राचार्यस्य सर्वं शिल्पवैभवं प्राप्तुं उपायं ददाति सुरः, न	शिवाय	शुक्राचार्यस्य सर्वं शिल्पवैभवं प्राप्तुं मयासुरः शिवतपः अकुरुत	शुक्राचार्यस्य सर्वं शिल्पवैभवं प्राप्तुं मयासुरः विश्वामित्राचा तपः अकुरुत
935	रावणस्य कस्मिन्नङ्गे अमृतमासीत्?	नाभौ; नाभिस्थाने		नाभौ	रावणस्य नाभौ अमृतमासीत्	नाभौ	नाभौ	उदरे	रावणस्य नाभौ अमृतमासीत्	रावणस्य नवेन्द्रस्य नखे अमृतं असीत्	नाभिस्थाने	नाभौ	रावणस्य हस्ते अमृतमासीत्
936	ऋक्षराजस्य वानरस्य जन्म ब्रह्मणः कस्मात् अङ्गात् जातः आसीत्?	नेत्रात्		स्वेदात्	जाम्बवान् (ऋक्षराजः) ब्रह्मणः मुखात् जातः आसीत्	वक्त्रात्   ब्रह्मणः वदनात्  वायुः उत्पन्नः, तस्य वायोः अंशात् एव हनुमान् जातः	ब्रह्मणो हस्तात्	मुखात्	"ऋक्षराजः वानरजातिस्य प्रमुखः अस्ति, सः ब्रह्मणः आश्रमात् ""कश्मीर"" नामकस्य स्थलेन जातः इति कथ्यते"	अङ्गात् वानरः जातः ऋक्षराजस्य वानरस्य जन्म ब्रह्मणः कस्मात्	"शिवात् 

ऋक्षराजस्य वानरस्य जन्म  ब्रह्मणः शिवात्  अङ्गात् जातः आसीत्"	ब्रह्मणः नाभिकमलात्	अर्थ : ऋषिराजाने वानरराजाचा जन्म ब्रह्मदेवाच्या मुखातून झाला होता
937	कः वामनरूपं धृत्वा राजानं बलिनः त्रिपदपरिमितां भूमिं दानरूपेण याचितवान्?	विष्णुः		वामनः	विष्णुः	विष्णुः  बलेः अहङ्कारं शमयितुम्	वामनः	विष्णुः	वामनः	वामनो राजानं बलिं याचितवान् वामनः भगवान् विष्णुरिति व्यव	त्रिविक्रमः	विष्णुः	भृगुः
938	श्रीरामेण सुग्रीवस्य परिचयः केन कारितः?	हनुमता; हनूमता		हनूमता	वालिना	हनुमता हनुमता रामलक्ष्मणाभ्यां सुग्रीवं मिलितवान्	हनुमता	हनुमता	श्रीरामेण सुग्रीवस्य परिचयः हनुमतः कृते कारितः	श्रीरामः हनुमता सह सुग्रीवस्य परिचयं कृतवान्	हनुमता	हनुमान्	श्रीरामेण सुग्रीवस्य परिचयः वानरराज्ये सीताहरणे कारितः
939	बर्बरजातीयाः जनाः महर्षेः वसिष्ठस्य धेनोः कस्मात् अङ्गात् अजायन्त?	ऊधसः		उदरात्	महर्षेः वसिष्ठस्य धेनोः पुच्छात् बर्बरजातीयाः जनाः अजायन्त	**पुच्छात्**	शापात्	शरीरात्	बर्बरजातीयाः जनाः महर्षेः वसिष्ठस्य धेनोः अङ्गात् अजायन्त, कारणं तत् अस्य धेनुः 'कामधेनु' इति प्रसिद्धा अस्ति, या सर्वसिद्धिं दातुं साम	बर्बरजातीयाः जनाः महर्षेः वसिष्ठस्य धेनोः अङ्गादजायन्त् व	उत्सङ्गात्	श्रृङ्गात्	अर्थ : बर्बरजातीयाः जनाः महर्षि वसिष्ठस्य धेनोः कस्मात् अङ्गात् अजायन्त?
940	श्रीरामाय ब्रह्मणः एषः संदेशः केन श्रावितः यत् तस्य (रामस्य) जीवनावधिः समाप्तः अस्ति, अतः स्वर्गलोकं प्रत्यागच्छतु?	कालेन		कालेः	"उत्तरम् - यमदूतः

श्रीरामाय ब्रह्मणः संदेशं यमदूतः एव श्रावितवान् यत् तस्य जीव"	कालेन कालः सर्वेषां नियन्ता अस्ति	विश्वामित्रेण	कालः	एषः संदेशः याज्ञवल्क्येन श्रावितः अस्ति	श्रीरामः एषः संदेशः ब्रह्मणा केन श्रावितः यत् तस्य जीवनावध	नारदः	कालेन	अर्थ : श्रीरामाच्या ब्रह्मदेवाकडून हा संदेश आला की, त्याचा जीवनाचा कालावधी संपला आहे म्हणून तो स्वर्गलोकात जावा!
941	सुतीक्ष्णः मुनिः कस्य शिष्यः आसीत् ?	अगस्त्यस्य		अगस्त्यस्य	सुतीक्ष्णः मुनिः अगस्त्यस्य शिष्यः आसीत्	भारद्वाजस्य	अगस्त्यः	अगस्त्यस्य	सुतीक्ष्णः मुनिः पराशरस्य शिष्यः आसीत्	सुतीक्ष्णः मुनिः वसिष्ठस्य शिष्यः आसीत्	विश्वामित्रस्य शिष्यः आसीत्	सुतीक्ष्णः मुनिः वशिष्ठस्य शिष्यः आसीत्	सुतीक्ष्णः मुनिः वाल्मीकि मुनेः शिष्यः आसीत्
942	कः ऋषिः श्रीरामाय स्वार्जितं ब्रह्मलोकं स्वर्गं च दातुं ऐच्छत, यत् सः न स्वीकृतवान्?	शरभङ्गः		दुर्वासा	भरद्वाजः ऋषिः श्रीरामाय स्वार्जितं ब्रह्मलोकं स्वर्गं च दातुम् ऐच्छत्, पर	वशिष्ठः  वाल्मीकिरामायणे, युद्धानन्तरं वशिष्ठः श्रीरामं ब्रह्मलोकं स्वर्गं च प्रति नेतुं इच्छति स्म	वशिष्ठः	ब्रह्मा	वशिष्ठः ऋषिः श्रीरामाय स्वार्जितं ब्रह्मलोकं स्वर्गं च दातुं ऐच्छत, किन्तु सः तद् न स्वीकृतवान्	ऋषिः विश्वामित्रः श्रीरामाय स्वार्जितं ब्रह्मलोकं स्वर्गं च दातुं	वसिष्ठः	अगस्त्य ऋषिः	विश्वामित्रः
943	लंकायाः राजपदे विभीषणस्य राज्याभिषेकं कः अकरोत्?	लक्ष्मणः		रामः	"रामः अकरोत्

रावणवधानन्तरं लङ्का-विजयपश्चात् श्रीरामः स्वयं विभीषणस्य लङ्का-रा"	श्रीरामः रामेण लङ्कां प्रति गच्छता विभीषणेन राज्ञः पदवीं प्रतिज्ञातम्	रामः	श्रीरामः	रामः अभिषेकं अकरोत्	विभीषणस्य राज्याभिषेकं हनुमता कृतम् अस्ति विभीषणः रामस्य	"विभीषणः

विभीषणः लंकायाः पंचमः राजा अभवत् लंकायाः राज्यपदे राज्याभिषेकं कृतः"	रामः	रावणस्य मृत्योपरान्त रामेण राज्याभिषेकः कृतः
944	जटायोः (गृद्ध्रस्य) दाहसंस्कारं कः अकरोत्?	श्रीरामः; रामः		रामः	रामः	श्रीरामः  जटायोः  पक्षौ  रावणेन  छेदितौ  इति  कारणेन	जटायुषम्	श्रीरामः	रामः दाहसंस्कारं अकरोत्	जटायोः दाहसंस्कारं रामः अकरोत् जटायुः रावणेन हतः अस्ति,	रामः	जटायोः (गृद्ध्रस्य) दाहसंस्कारं रामः अकरोत्	रामः
945	वनवासकाले सीतायै दिव्यं हारं वस्त्राभरणं अंगरागं च कः प्रदत्तवान्?	अनसूया		अनसूया	"अनसूया

वाल्मीकि रामायणे अयोध्याकाण्डे वर्णितम् यत् अनसूया नाम्नी अत्रिमहर्षे"	"इन्द्रः  

रामलक्ष्मणाभ्यां सीतां रक्षतुं हनुमान् लंकां गच्छति इति ज्ञात्वा इन्द्रः  सीतां सान्त्वयितुं  तानि दिव्याभरणानि प्रदत्तवान"	हनुमान्	अनसूया	हनुमानः प्रदत्तवान्	सुग्रीवः प्रदत्तवान्	अगस्त्यः	अनसूया	वनवासकाले सीतायै दिव्यं हारं वस्त्राभरणं अंगरागं च रावणाने दिले होते
946	सीता स्वयंवरे यस्य धनुषः प्रयोगः कृतः, तत् राज्ञे जनकाय कः अददात्?	वरुणः		शिवः	"शिवः

पौराणिक कथानुसारं, शिवधनुः जनकराजाय शिवेन स्वयं प्रदत्तम् आसीत् एतत् ध"	**शिवः**  जनकस्य पूर्वजः निमिः इति राजा तत् धनुः शिवात् प्राप	विश्वामित्रः	परशुरामः	रामः धनुषं अददात्	रामः अददात्	शिवः	देवः शिवः	रामाय
947	दण्डकवने श्रीरामं,सीतां लक्ष्मणं च कः राक्षसः आक्रमणं अकरोत्?	विराधः		शूर्पणखा	खरः	रावणः रावणस्य सीतायाम् आसक्तिः एतस्य कारणम् आसीत् |	विराधः	शूर्पणखा	तत्र रावणस्य पुत्रः मेघनादः आक्रमणं अकरोत्	रावणः राक्षसः आक्रमणं अकरोत्	विराधः	शूर्पणखा	रावणः
948	यः समुदायः ब्रह्मणः नखात् उत्पन्नः इति उच्यते, सः ऋषिणां समुदायः किम् उच्यते?	वैखानसः		भृगु	नखजाः	मानसाः	सप्तर्षयः	ब्राह्मणाः	"सः ऋषिणां समुदायः ""कश्यप"" इति उच्यते"	ऋषिणां समुदायः मुनयः उच्यन्ते ऋषयः वेद-मन्त्रद्रष्टार	ऋषिः	मारीचादयः	सः ऋषिणां समुदायः ऋषि-संघः, ऋषि-समुदायः, ऋषि-गणः, ऋषि-सेना इति उच्यते
949	यः समुदायः ब्रह्मणः रोमात् प्रकटितः इति उच्यते, सः महर्षिणां समुदायः कः उच्यते?	वालखिल्यः		भृगवः	सप्तर्षयः	भृगुपुत्राः	सप्तर्षिः	वाल्मीकि	अयं समुदायः वाल्मीकी समुदायः उच्यते	महर्षिणां समुदायः सप्तर्षयः उच्यन्ते ते अथर्वण, ब्रह्स्पति	सप्तर्षयः	महर्षिणां समुदायः मारीचादयः	महर्षिणां समुदायः वेदव्यासः उच्यते
950	यः समुदायः पर्णानि खादति, सः मुनीनां समुदायः किं कथ्यते?	पत्राहारः		वल्खिल्याः	ताटकावन-वासिनः	वानरः	वानराः	वानराः	"यः समुदायः पर्णानि खादति, सः ""कौमुदी"" इति कथ्यते"	"सः वनचारिणां समुदायः कथ्यते अत्र ""मुनीनां"" इति शब्दः ""वनच"	वृक्षभक्षकाः	वानप्रस्थाः	वृक्षः
951	कण्ठपर्यन्तं जलमध्ये निमज्य तपः कुर्वन्तः ऋषयः किमुच्यन्ते?	उन्मञ्जकाः		जलतपसः	तोयाश्रिताः	"**वालखिल्याः** | 

**ते धर्मपरायणाः तपस्विनः आसन् अतः जले निमग्नाः तपः कुर्वन्ति स्म**"	तपोधनाः	जलचारिणः	"ऋषयः जलमध्ये निमज्य तपः कुर्वन्तः ""तपस्विनः"" इत्युच्यन्ते"	ऋषयः मुख्यतः तपस्सु निरताः भवन्तः, अतः जले निमज्य तपः क	मुनयः	प्रजापत्यः	अर्थ : कण्ठपर्यन्तं जलमध्ये निमज्य तपः कुर्वनारे ऋषे कोण?
952	ये केवलं जलं पित्वा जीवितमाचरन्ति सः ऋषिसमूहः किमुच्यते?	सलिलाहारः		वाताशनः	वानप्रस्थाः	जलोचरः	तपस्विनः	वालखिल्याः	"ते ""काकभुशुण्डि"" इत्युच्यते"	जलं पित्वा जीवितं चरन्ति ते ऋषयः जलशायिनः उच्यन्ते ते अ	पाणिना: ऋषि:	जलवासिनः	ये केवलं जलं पित्वा जीवितमाचरन्ति सः ऋषिसमूहः किमुच्यते?
953	वायुमेव पीत्वा जीवनं कुर्वन्तः ऋषयः किमुच्यन्ते?	वायुभक्षः		प्राणाहाराः	वातभक्षाः	वालिखिल्याः	मुनयः	वायुभक्षाः	वायुमेव पीत्वा जीवनं कुर्वन्तः ऋषयः अमृत-तुल्यं जीवनं प्राप्नुवन्ति	रामायणे एके ऋषयः वायुम् पीत्वा जीवनं कुर्वन्तः अपि उच्यन्ते	वायुभक्ष:	वायुप्राणाः	वायुमेव पीत्वा जीवनं कुर्वन्तः ऋषयः किमुच्यन्ते? - वायुमेव पीत्वा जीवनं कुर्वन्तः ऋषयः किमुच्यन्ते?
954	निरन्तरं जपं कुर्वन् ऋषिसमूहः किमुच्यते?	सजपः		वालयः	विश्वामित्रः	वल्कलधारीणः	ब्रह्मचारिणः	सप्तर्षि	"निरन्तरं जपं कुर्वन् ऋषिसमूहः ""साधकाः"" इति उच्यते"	निरन्तरं जपं कुर्वन् ऋषिसमूहः मन्त्रदीक्षां प्राप्तः अस्ति मन्त	यज्ञः!	तपस्वी	निरन्तरं जपं कुर्वन् ऋषिसमूहः सिद्धगणः
955	गृष्मकाले उपरिष्टात् सूर्यस्य, चतुर्भ्यः दिग्भ्यः च अग्नेः तापं सहमानाः ऋषयः किमुच्यन्ते?	पञ्चाग्निसेवी; पञ्चाग्नयः		पञ्चतपः	पञ्चाग्नि-तापसाः	तपस्विनः	तपस्विनः	तपस्विनः	"ऋषयः तापं सहमानाः ""तपसः"" इति उच्यन्ते"	उपरिष्टात् सूर्यस्य चतुर्भ्यः दिग्भ्यः च अग्नेः तापं सहमानाः	तपस्विनः	तपस्विनः	अग्निर्भिर्निर्मितं तापं सहन्ते
956	संपातये सीताहरणस्य सूचनां कः दत्तवान्?	सुपार्श्वः		जटायुः	जटायुः	जटायुः हनुमता रावणेन सीतां नीयमानां दृष्ट्वा आक्रोशेण सूचनां दत्ताम्	हनुमान्	जटायुः	सीताहरणस्य सूचनां जटायुः दत्तवान्	सुग्रीवः सीताहरणस्य सूचनां दत्तवान्	हनुमान्	संपातये सीताहरणस्य सूचनां जटायुर्दत्तवान्	रावणः
957	राज्ञः दशरथस्य दाहसंस्कारकाले तस्य परिवारस्य का स्त्री न आसीत्?	सीता		कैकेयी	विदेह-राजस्य पुत्री सीता न आसीत् दशरथस्य दाहसंस्कारकाले कारणं यत् तदा सीता रामेण सह व	शान्ता सीतायाः विवाहः तदा न जातः स्म	कैकेयी	सीता	कौसल्याऽन्यथा न आसीत्	दशरथस्य दाहसंस्कारकाले तस्य परिवारस्य कोई स्त्री न आसीत् रामाय	कौसल्या	कैकेय्याः कारणात्	कैकेयी
958	यदा लक्ष्मणः किष्किन्धापुरिं गत्वा सुग्रीवे क्रुद्धः आसीत् तदा सुग्रीवः तं शमयितुं कं प्रेषितवान्?	ताराम्		ताराम्	यदा लक्ष्मणः किष्किन्धापुरिं गत्वा सुग्रीवे क्रुद्धः आसीत्, तदा सुग्रीवः तं	"**हनुमन्तम्**  

**हनुमान् लक्ष्मणस्य क्रोधं शमयितुं समर्थः आसीत्**"	ताराम्	ताराम्	तदा सुग्रीवः हनुमानं प्रेषितवान्	सुग्रीवः अङ्गदं प्रेषितवान्	अङ्गदम्	अङ्गदः	वानरराजः हनुमानः
