ID	QUESTION	ANSWER	CHOICES	llama-v3p1-8b-instruct	gemini-1.0-pro	gpt-3.5-turbo	gpt-4o-mini	gpt-4o
822	राज्ञः दशरथस्य राज्ञीनां मध्ये ज्येष्ठा का आसीत् ?	कौसल्या		कौशल्या	कौसल्या	कैकेयी	कौशल्या	कौसल्या
823	यदा रावणः सीतायाः हरणं कृत्वा गच्छति स्म तदा मार्गे तस्य प्रतिरोधं कः वीरः अकरोत् ?	जटायुः		वानरराजः सुग्रीवः	"जटायु: 
Jatayu, a mighty vulture and friend of Dasharatha, attempted to stop Ravana when he abducted Sita"	हनुमानः्	हनुमानः	जटायुः
824	रावणस्य सः कः भ्राता यः श्रीरामस्य शरणं प्राप्तवान् ?	विभीषणः		भरत	विभीषणः	विभीषणः	विभीषणः	विभीषणः
825	लङ्कां कः दग्धवान् ?	हनुमान्		रावण	"**राम/हनूमत्** 
(रामस्य आज्ञया हनूमता लङ्का दग्धा) 

(Rama/Hanuman 
(Lanka was burnt by Hanuman on the orders of Rama)) 



I hope this helps! Let me know if you have any other questions"	हनुमान्	रामः	हनुमान्
826	राक्षसेभ्यः यज्ञस्य रक्षणाय राजा दशरथात् श्रीराम-लक्ष्मणौ कः ऋषिः याचित्वा नीतवान् ?	विश्वामित्रः		वशिष्ठ	विश्वामित्रः	विश्वामित्रः	वशिष्ठः	वसिष्ठः
827	अयोध्यायाः कुलगुरुः कः आसीत् ?	वसिष्ठः		दशरथः	वसिष्ठः	वसिष्ठः	वशिष्ठः	वसिष्ठः
828	सीता स्वयंवरस्य कः मनोरथः आसीत् ?	शिवधनुषोत्तोलनम्		राज्यस्य प्राप्ति	रामस्य विवाहः	रामः	रामस्य विवाहः	रामः
829	लंकां गत्वा सीतायाः सङ्केतं कः ज्ञातवान् ?	हनुमान्		वानरराज वाली	हनुमान्	हनुमान्	हनुमान्	हनुमानः
830	अयोध्यायां श्रीरामलक्ष्मणभरतशत्रुघ्नेभ्यः शस्त्रशास्त्रयोः शिक्षां कः अददात् ?	विश्वामित्रः		विश्रवस्	"विशिष्ट ऋषि: 

वशिष्ठ:"	गुरुः	वशिष्ठः	वसिष्ठः
831	दशरथः एतेषु कस्य वंशस्य आसीत् ?	रघुवंशस्य	 यदुवंशस्य / पूरुवंशस्य / कुरुवंशस्य / रघुवंशस्य	रघुवंशस्य	रघुवंशस्य	रघुवंशस्य	रघुवंशस्य	रघुवंशस्य
832	श्रीरामस्य जन्म कदा अभवत् ?	नवम्यां तिथौ		त्रेतायुगे	"चैत्र शुद्ध नवमी 
**नवमी**"	त्रेतायाम्	त्रेतायुगे	श्रीरामस्य जन्म त्रेतायुगस्य चैत्रमासस्य शुक्लपक्षे नवमी तिथौ अभवत्
833	श्रीरामलक्ष्मणभरतशत्रुघ्नेषु स्वस्य कोपी स्वभावेन कः प्रसिद्धः आसीत्?	लक्ष्मणः		भरत	शान्तः	क्रोधी (Angry)	भरत	लक्ष्मणः
834	सीतायाः स्वयंवरे यद् धनुः व्यवहृतं तत् कस्य आसीत्?	शिवस्य		रामस्य आसीत्	शिवस्य	रामस्य	शिवस्य	शिवस्य
835	कः सः ऋषिः यः सीतायाः स्वयंवरे श्रीरामलक्ष्मणयोः च उपरि रुष्टः आसीत्?	परशुरामः		मारीचः	विश्वामित्रः	पारशर्यः	परशुरामः	परशुरामः
836	लवकुशयोः गुरुः कः आसीत्?	वाल्मीकिः		अश्वपति	विश्वामित्रः	वाल्मीकिः	वासिष्ठः	वाल्मीकि
837	अशोकवाटिकायां सीता हनूमते किम् वस्तु अभिज्ञानरूपेण अददात्?	चूडामणिः		सीता हनुमानाला रामस्वरूपाचा साक्षात्कार करून दिला	अंगुलीयकम्	अंगुलीयं (रत्नम्)	अभिज्ञानपत्रम्	चूडामणिः
838	महर्षिः वाल्मीकिः कस्य वंशे उत्पन्नः?	भृगोः		अग्निवंशे	भृगु वंशे	महर्षिः वाल्मीकिः ब्रह्मर्षि विश्वामित्रस्य वंशे उत्पन्नः	सप्तर्षीणां वंशे	भृगुवंशे
839	त्रिजटा राक्षसी विभीषणस्य का आसीत्?	भगिनी		त्रिजटा राक्षसी विभीषणस्य पत्नी आसीत्	"नाना 
(Trijata was Vibhishana's sister)"	सहोदरी	सहायिका	कन्या
840	लङ्कायाः निर्मितिः केन कृता?	विश्वकर्मणा		विभीषणकृता	विश्वकर्मा	हनुमानेन्	विश्रवसः	विश्वकर्मणा
841	श्रीरामं वनात् अयोध्यां प्रतिनेतुं एतेषु कः न गतवान्?	दशरथः	 जनकः / भरतः / सुमन्त्रः / दशरथः	दशरथः	"**दशरथः** 

दशरथः श्रीरामं वनात् अयोध्यां प्रतिनेतुं न गतवान्,  क्योंकि वनवास आरम्भ होने के कुछ समय पश्चात् दशरथः देहत्यागं कृ"	भरतः	जनकः	दशरथः
842	भरतः अयोध्यायाः सिंहासने श्रीरामस्य किं वस्तु स्थापयित्वा तस्य आगमनपर्यंतं राज्यं चालयामास?	पादुके		भरतः	पदुकाः (Paduka)	पादौ चूडामणिं	चूड़ामणिः	पादुकाः
843	सीतायाः सङ्केतप्राप्त्यर्थं लंकां गच्छते हनुमते कः पर्वतः स्वागतं व्याजहार ?	मैनाकः		श्रृंगीव पर्वतः	मलयपर्वतः	मैनाक पर्वतः	सुमित्रा	मैनाकः
844	दशरथस्य तिस्रः राज्ञ्यः गर्भधारणाय कस्य वस्तुनः भक्षणं कृतवत्यः?	चरुः		कौशल्या, कैकेयी और सुमित्रा	कल्पवृक्षात् लब्धस्य, अमृतेन सम्मिश्रितस्य पायसस्य	कैकेयीः	कैकयी	पायसस्य
845	श्रीरामलक्ष्मणाभ्यां बलातिबलयोः विद्यायोः ज्ञानं केन प्रदत्तम्?	विश्वामित्रेण		विश्रवसेना	विश्वामित्रा:	गुरुः	भगवान शिवेन	वसिष्ठमुनिना
846	शुनःशेपस्य रक्षा केन कृता?	विश्वामित्रेण		राम ने	"राम 
 
**Note:** This response is based on the Valmiki Ramayana, which is the oldest and most revered version of the Ramayana in India In other versions of the Ramayana, different characters may be credited with protecting Shunahshepa"	अगस्त्येन	रामेन	विश्वामित्रस्य
847	सिद्धार्थः अयोध्यायां कस्मिन् पदे आसीत्?	मन्त्री		अयोध्यायां राजभवने	राजकुमारः	आयोध्यायाम्	राजमहलम्	राजकुमारः
848	राज्ञः दशरथस्य सारथिः कः आसीत्?	सुमन्त्रः		श्रीरामानुजः	सूतः	वसिष्ठः	सुमन्तः	सुमन्त्रः
849	सीतायाः हरणाय रावणः केन वेषेन आगच्छत्?	साधुवेशेन		वानर वेषे	श्रमणः	मृगरूपेण	ब्रह्मराक्षस वेषेण	साधु
850	राज्ञः दशरथस्य सा का राज्ञी या तेन सह युद्धेषु भागमगृह्णात्?	कैकेयी		कैकेयी	कैकयी	कैकेयी्	कैकेई	कैकयी
851	कुशनाभस्य पुत्र्यः कस्य क्रोधेन कुब्जाः जाता:?	वायोः		रावणस्य	महोदरस्य	कुबेरस्य	रामस्य	वायोः
852	वनवासकाले श्रीरामादिषु शृङ्गवेरपुरे प्राप्ते कः तेषां स्वागतं कृतवान्?	गुहः		सुग्रीव	गुह:	हनुमान्	शृङ्गवेरपुरे स्वागतं सुमित्रा द्वारा कृतम्	गुहः
853	श्रीरामः लक्ष्मणसीताभ्यां सहितः वनवासाय केन वेषेण गतः?	तपस्विनः वेषेण		वानर वेषेण	भिक्षुकरूपेण	वानरवेषेण	साधारण वेषेण	तपस्विवेषेण
854	रामायणे किष्किन्धाकाण्डात् परं किं काण्डम् आगच्छति?	सुन्दरकाण्डम्		युद्ध	सुन्दरकाण्डम्	सुंदरकाण्डः	सुन्दरकाण्डम्	सुन्दरकाण्डम्
855	सः कः राक्षसः यः रावणाय सिताहरणस्य मन्त्रणां कृतवान् आसीत्?	अकम्पनः		मेघनादः	मारिचः	मारीचः	मारिचः	मारीचः
856	श्रीरामसीताभ्यां सह अन्यः कः वनम् अगच्छत्?	लक्ष्मणः		वानरगण	लक्ष्मण:	लक्ष्मणः	लक्ष्मणः	लक्ष्मणः
857	सम्पातेः (गृध्रस्य) पक्षौ कथं दग्धौ अभवताम्?	सूर्यस्य प्रखरकिरणैः		रावणस्य पुत्रौ	अग्निना	हनुमता	रामस्य बाणेन	सम्पातिः सूर्यं रक्षितुं प्रायासं कुर्वन् दग्धपक्षः अभवत्
858	प्रहस्तः कः आसीत्?	रावणस्य सेनापतिः		रावणः	वानरः	मेघनादः	प्रहस्तः रावणस्य प्रमुखः सेनापति आसीत्	प्रहस्तः रावणस्य सेनापतिः आसीत्
859	महोदरः प्रहस्तः धूम्राक्षः मारीचः शुकः सारणः - एते सर्वे लङ्कायां केषु पदेषु स्थिताः आसन् ?	अमात्यपदे		रावणस्य सेनायाम्	प्रहस्तः लङ्कायां रावणस्य राज्याभिषेकस्य अध्यक्षतां कृतवान् |	अशोकवनिकायाम्	रावणस्य सभा	मन्त्रीपदेषु
860	लङ्कायाः गमनाय समुद्रे निर्मितः सेतुः केन निर्मितः आसीत्?	नलेन		रामसेतुः	नला: नील:	वानरैः	रामेण	हनुमता
861	ऋषेः भरद्वाजस्य गुरु: कः महर्षिः आसीत् ?	वाल्मीकिः		विश्वामित्रः	"विश्वामित्रः 

The answer is **विश्वामित्रः**

**Explanation:**

* भरद्वाज ऋषि के गुरु विश्वामित्र थे
* विश्वामित्र एक महान ऋषि थे जिन्होंने कठोर तपस्या करके ब्रह्म"	विश्वामित्रः	वसिष्ठः	वसिष्ठः
862	हनुमतः (लङ्कां गच्छतः)  बलं पराक्रमं च परिक्षितुं देवताः कं राक्षसीरूपेण मार्गे विघ्नमुत्पादयितुं प्रेषितवन्तः ?	सुरसा		विश्वकर्मा	विघ्न : शनि	वायुः	सुरासुराः	सुरसा
863	सः कः राक्षसः यस्य मायया श्रीरामस्य कर्तितं शिरः दर्शयित्वा सीतां व्यकुलयितुं प्रयासम् अकरोत् ?	विद्युज्जिह्वः		रावण	मेघनादः	रावणः	रावणः	मायावी
864	सीताया: स्वयंवरे गच्छद्भ्यां श्रीरामलक्ष्मणाभ्यां सहितः कः ऋषिः आसीत्?	विश्वामित्रः		वशिष्ठ ऋषिः	"विश्वामित्र   
 
 विश्वामित्र ऋषि सीता के स्वयंवर में श्री राम और लक्ष्मण के साथ गए थे"	विश्वामित्रः	महर्षि विश्वामित्रः	विश्वामित्रः
865	रामरक्षास्तोत्रस्य' रचना केन कृता?	विश्वामित्रेण		रामरक्षास्तोत्रस्य रचना केशव कृता	बुधकौशिक ऋषि	गोस्वामी तुलसीदासेन	रामानुजेन	बुधकौशिकमुनिना
866	तारकासुरेण सह देवतानां युद्धे देवतानां सेनापति: कः आसीत्?	कार्त्तिकेयः		विष्णुः	कुमार:	इंद्रः	इन्द्रः	इन्द्र:
867	देवतायाः चिकित्सकः कः आसीत्?	अश्विनिकुमारौ		भारद्वाज	धन्वंतरिः	अश्विनौ्ः	नारदः	धन्वन्तरिः
868	पुष्पकविमानस्य निर्माणं केन कृतम्?	विश्वकर्मणा		विश्वकर्मा	"विश्वकर्मा  
<br>

**Translation:** 
The Pushpaka Vimana was created by Vishwakarma 
<br> 
<br> 
**Additional Information:** 
<br> 
Vishwakarma is the divine architect in Hindu mythology He is responsible"	विश्वकर्मणा	विश्वरूपेण	विश्रवसः
869	रावणस्य शरीरं कस्य वर्णस्य आसीत्?	कृष्णवर्णस्य		कृष्णवर्णस्य	"हरिद्राभम् - 

स्रोत: वाल्मीकीय रामायणम्, युद्धकाण्डम् ६७१३"	श्यामलं्	कृष्णवर्णम्	कृष्णवर्णस्य
870	श्रीरामस्य शरीरस्य वर्णः कः आसीत्?	नीलः		कृष्णवर्णः	Krishna (कृष्ण)	श्यामः	श्वेतः	श्यामः
871	लक्ष्मणस्य शरीरं कस्य वर्णस्य आसित् ?	गौरवर्णस्य		कृष्णवर्णस्य	"कृष्ण  
 
Explanation:
There are multiple references in Valmiki Ramayana stating Lakshmana's complexion as dark, even black at times Here is one instance from Aranya Kanda:
सौमित्रिं कृष्णवर्णं च सर्वलक्षणसंयुतम् ("	ताम्रं	कश्यपस्य	गौरवर्णस्य
872	भरतस्य शरीरं कस्य वर्णस्य आसित् ?	नीलवर्णस्य		कृष्णवर्णस्य	श्यामवर्णस्य	श्यामस्य्	कृष्णवर्णस्य	श्याम वर्णस्य
873	श्रीरामस्य आज्ञया सीतां वने त्यक्तुं कः गतः ?	लक्ष्मणः		वानर	लक्ष्मणः	अनुमानवान्	लक्षमणः	लक्ष्मणः
874	देवतानां गुरु: कः आसीत् ?	बृहस्पतिः		बृहस्पति:	बृहस्पतिः	विष्णुः	बृहस्पतिः	बृहस्पतिः
875	असुराणां गुरु: कः आसीत् ?	शुक्राचार्यः		शुक्राचार्य	शुक्राचार्य:	शुक्रचार्यः	शुक्राचार्यः	शुक्राचार्य:
876	रावणः तथा मान्धाता इत्यनयोः मध्ये  शान्तिं स्थापयितुं कः महर्षिः मध्यस्थतां कृतवान्?	गालवः		विश्वामित्रः	विश्वामित्र:	वाल्मीकिः	महर्षिः वाल्मीकिः	अगस्त्यः
877	गाधेः जन्म कस्य यज्ञस्य करणात् अभवत् ?	पुत्रेष्टियज्ञस्य		दशरथाचा	अश्वमेध यज्ञस्य	विश्वामित्रस्य	रामयज्ञस्य	ऋचीकस्य यज्ञस्य
878	मेघनादेन प्रयुक्तेन नागपाशेन बद्धौ श्रीरामलक्ष्मणौ कः मुक्तवान्?	गरुडः		रामः	गरुड	हनुमानः	हनुमान	गरुडः
879	विष्णुः वामनरूपेण कस्य गर्भात् जातः?	अदितेः		भृगुनन्द्राचे	अदितिः	कश्यपस्य	देवकी गर्भात्	अदित्या:
880	रामादिषु चतुर्षु भ्रातृषु द्वितीयः कः आसीत्?	भरतः		लक्ष्मणः	"लक्ष्मणः 
 
 Lakshmana"	लक्ष्मणः	भरतः	भरतः
881	म्लेच्छानां उत्पत्तिः कुतः अजायत?	कामधेनोः रोमकूपात्		म्लेच्छानां उत्पत्तिः रावणाद्वारे	ऋषीणाम्	श्रीरामेणापि	म्लेच्छानां उत्पत्तिः तेषां आचार-व्यवहारात् अजायत	समुद्रात्
882	हनुमन्तं प्रथमतः कः रावणस्य पुरतः नीतवान्?	मेघनादः		विभीषण	"अङ्गदः 
	
Aṅgadaḥ= The answer is Aṅgadaḥ (अङ्गदः) 
	
Aṅgadaḥ was the first to be brought before Rāvaṇa 
	
Here is the supporting evidence: 
	
>""प"	सीता	रामः	विभीषणः
883	ऋक्षबिले (गुहायां) हनुमदङ्गदादिभिस्सह कस्य साक्षात्कारः अभवत्?	स्वयंप्रभायाः		रामानां	"वालिनः 
##

**Explanation:**

When Hanuman and his troops were searching for Sita in Kishkindha, they encountered Vali in his cave Vali was the king of the Vanaras and the elder brother of Sugriva Sugriva had been exiled from Kishkindha by Vali, and Rama had"	जटायुस्य	रामस्य	सीतायाः
884	वनवासकाले श्रृङ्गवेरपुरे श्रीरामस्य पादौ कः प्राक्षालयत्?	केवटः		सुग्रीव	शवरी	भरतः	शबला	गुहः
885	गायत्रीमन्त्रे कस्य देवस्य आराधना अस्ति?	सूर्यस्य		अग्नीच्या	सावित्री देवता	विष्णोः (Vishnu's)	सूर्य देवस्य	सवितुः
886	पञ्चवट्यां सीताया: कुट्याः पुरतः रेखां कः अलिखत्?	लक्ष्मणः		विश्वामित्र	लक्ष्मणः	वानरः	रामः	लक्ष्मण:
887	कः स ऋषिः यः 'मरा-मरा' इति जपं कृत्वा तपः अकरोत्?	वाल्मीकिः		वशिष्ठ	"मार्कंडेयः 

The question asks, ""Who is the sage who did tapas by chanting 'Mara-Mara'?"" 
The answer is Markandeya"	विश्वामित्रः	ऋषि मार्कण्डेयः	वाल्मीकिः
888	लोकपालानां गजाः किम् उच्यन्ते?	दिग्गजाः		गजेन्द्र	दिग्गजान्	नलगजाः	गजाः	दिग्गजाः
889	दशरथः कस्मै नृपतये स्वपुत्रीं पोष्यपुत्रिकारूपेण अयच्छत्?	रोमपादाय		रामाय	जनकः	यज्ञार्थाय	रामायणा	जनकाय
890	यदा श्रीरामः स्वर्णमृगं बाणेन हत्वा पातितवान् तदा तस्य मुखात् विलापस्वरेण किम् निर्गतम्?	हा लक्ष्मण!		सुवर्णमयी किरण	"""अयः"" (Heya)"	अश्रुः	सीता	लक्ष्मणम्
891	भरतस्य कः मंत्री श्रीरामस्य वनवासात् अयोध्याप्रत्यागमने तेषां स्वागतं कर्तुं गतः आसीत्?	अर्थसाधकः		विश्वामित्र	सुमन्त्रः	गुहः	शत्रुघ्नः	सुमन्त्रः
892	महर्षये वाल्मीकये रामकथां कः श्रावितवान्?	नारदः		विश्वामित्र	नारद	वाल्मीकः	तत्त्वदर्शी नारदः	नारदः
893	रभसनामकं यौद्धिकविधिं श्रीरामः कस्मात् अधिगतवान् आसीत्?	विश्वामित्रात्		वानरराजकुमार हनुमानस्य शिक्षया	विश्वामित्रः	आग्नेयात्	विभीषणस्य उपदेशात्	वसिष्ठात्
894	प्राजापत्यपुरुषेण प्रदत्तस्य चरोः कियन्तम् अंशं दशरथः कौसल्यायै दत्तवान्?	अर्धांशम्		अर्थाती	चतुर्थम् अंशम्	१०	दशरथः कौसल्यायै एकचक्रं अंशं दत्तवान्	अर्धम्
895	प्राजापत्यपुरुषेण प्रदत्तस्य चरोः कियन्तम् अंशं दशरथः कैकैय्यै दत्तवान्?	चतुर्थांशम्		अष्टकं	चतुर्थम्	एकम्	द्वादशम्	षष्ठांशम्
896	प्राजापत्यपुरुषेण प्रदत्तस्य चरोः कियन्तम् अंशं दशरथः सुमित्रायै दत्तवान्?	चतुुर्थांशम्		अर्थाती	पञ्चमम्	तेषाम्	द्विमात्रम्	अर्धम्
897	काकभुशुण्डिः पूर्वजन्मनि कः आसीत्?	ब्राह्मणः		रावणः	काकभुशुण्डिः पूर्वजन्मनि जटायुः आसीत्	जटायुः	गृध्रराजः	द्रोणः
898	श्रीरामस्य वनवासकालीनकथा रामायणस्य कस्मिन् काण्डे अन्तर्भवति?	अरण्यकाण्डे		अरण्यकाण्डे	अरण्य काण्डे	अरण्यकाण्डे	अयोध्याकाण्डे	अयोध्याकाण्डे
899	ताटका (राक्षसी) राक्षसीभवनात् पूर्वं का आसीत्?	यक्षिणी		ताटका राक्षसीभवनात् पूर्वं सीता आसीत्	शुर्पणखा	मायावीनी	सोमदत्त	कन्या
900	सनाभः' इति कस्य पर्वतस्य एकं नाम अस्ति?	मैनाकस्य		श्रृंगवेरपुरम	मेरू	हनुमान्	गिरिराजस्य	ऋष्यमूकस्य
901	कः ऋषिः सीतायाः शुद्धतायाः प्रतिज्ञां कृतवान्?	वाल्मीकिः		वशिष्ठः	वाल्मीकि:	ऋषि विश्वामित्रः	वाल्मीकि:	वाल्मीकि:
902	रावणस्य भ्रातृषु कनिष्ठः कः आसीत्?	विभीषणः		मेघनादः	विभीषणः	विभीषणः	विभीषणः	विभीषणः
903	श्रीरामसहितेषु सर्वेषु भ्रातृषु कनिष्ठः कः आसीत्?	शुत्रुघ्नः		लक्ष्मणः	अपने भाइयों में सबसे छोटे राम के भाई लक्ष्मण थे	लक्ष्मणः	लक्ष्मणः	लक्ष्मणः
904	श्रीरामस्य सभायां कः रामायणस्य गानम् अकरोत्?	लवकुशौ		वाल्मीकि	हनुमान्	हनुमान्	लक्ष्मणः	वाल्मीकि:
905	राज्ञः दशरथस्य राज्ञी कैकेयी कस्य वर्णस्य आसीत्?	क्षत्रीयवर्णस्य		कृष्णवर्णस्य	"कैकयी राज्ञी दशरथस्य द्वितीया पत्नी आसीत् 

सै  नागकन्या आसीत्"	क्षत्रियास्याः	कश्यपस्य	शूद्र वर्णस्य
906	रामायणस्य प्रमुखः नायकः कः?	श्रीरामः		श्रीरामः	रामः	रामः	रामः	रामः
907	पञ्चवट्यां प्रवेशकाले श्रीरामलक्ष्मणसीताभिः च सह कः अन्यः आसीत्?	जटायुः		सुग्रीव	हनूमान्	जटायुः	हनुमानः	कबन्धः
908	कुबेराय पुष्पकविमानं कः दत्तवान्?	ब्रह्मा		रावण	विश्वकर्मा	ऋष्यशृङ्गः	शिवः	रावणः
909	शूरसेनजनपदं कः संस्थापितवान्?	शत्रुघ्नः		अग्निवेश्वरः	"शूरसेनजनपदस्य संस्थापकः शूरसेन एव 

The answer is शूरसेन"	भरतः्	कंसः	रामः
910	गङ्गायाः पारं गत्वा सीता केवटाय भाटकरूपेण किं दातुम् इष्टवती यत् केवटः स्वीकर्तुं प्रत्याख्यातवान्?	मुद्रिका		सीता केवटाला सीतारामाची सांगणी देणे	कनकमणिः	चूडामणिं	अवश्यं दातुं न इच्छति	अङ्गुलीयकम्
911	बरवै रामायणस्य' रचनां कः अकरोत् ?	तुलसीदासः		वाल्मीकि	वाल्मीकेः	वाल्मीकिः	तुलसीदासः	महत्मा तुलसीदास:
912	हहा हूहू च कौ आस्ताम्?	गन्धर्वौ		अर्थ : हनुमान जी के पास क्या है?	कालेक ं ि न	रावण्	हनुमान	राक्षसौ
913	अनलः, अनिलः, हरः, सम्पातिः च एते कस्य मन्त्रिणः आसन्?	विभीषणः		रावणस्य	गरुडः	वानरसेनापतेः	रावणस्य	दशरथस्य
914	सर्वतापनः कस्य नाम अस्ति?	सूर्यस्य		रामाचे	रावणः	रावणः	रामस्य	रावणः
915	हनुमन्तं समुद्रस्य लङ्घनाय कः प्रेरितवान्?	जाम्बवान्		रामः	वायुः (Vayu)	जम्बवान्	रामः	जाम्बवान्
916	लंकाक्रमणाय समुद्रे सेतुं बन्धयितुं वानरैः शिलासु कः शब्दः लिखितः?	रामः		"""राम"""	राम	नाना (न्यायः)	रामायणम्	राम
917	अशोकवाटिकायां हनुमान् किंकरनामकान् यान् राक्षसान् हतवान्, तान् कः प्रेषितवान्?	रावणः		रामानंदन	रावण:	विभीषणः	रामः	रावणः
918	कृष्णमुखवानराणां यूथपतिः कः आसीत्?	गवाक्षः		अंगदः	हनुमान्	सुग्रीवः	रामः	सुग्रीवः
919	वानराणाम् उत्पत्तिः केभ्यः अभवत्?	देवताभ्यः गन्धर्वेभ्यश्च		वानराणां उत्पत्तिः वानरराजानां पुत्राणां अभवत्	ब्रह्मणः	वाल्मीकेः	ब्रह्मा	वानराणां उत्पत्तिः देवताभ्यः अभवत्
920	राज्ञः दशरथस्य पुत्र्याः विवाहः केन अभवत्?	ऋष्यशृङ्गेण		श्रीरामस्य	सीता	वैस्थ्येन	रामः	रामेण
921	सीता-हरणकाले प्रकृतायाः सीतायाः स्थाने मायया निर्गतायाः सीतायाः सृष्टिः केन कृता आसीत्?	अग्निना		माया	मयासृष्टा आसीत्	रावणेन्	मायावी रावणेन	इन्द्रजित्
922	शुकसारणौ च लङ्कायां कस्मिन् पदे आसाताम् ?	अमात्यपदेे		श्रृंगवेरपुरे	शूकसारणौ रामायणात्मकम् कथायाम् रावणस्य राजधानी लाङ्कायाम् आसाताम्	उत्तरान्वयि नगरे	शुकसारणौ लङ्कायां रावणस्य महलस्य पदे आसाताम्	मन्त्रिणौ
923	महोदरः राक्षसः रावणस्य कः आसीत् ?	भ्राता		शूरपणसः	महोदरः राक्षसः रावणस्य **भ्राता** आसीत्	अभिमानिनी्	कुंभकर्णः	सचिवः
924	यदा सूर्यं ग्रहीतुं हनुमान् अप्लवत तदा कः ग्रहः सूर्ये ग्रहणं सम्पादयितुम् इच्छति स्म ?	राहुः		राहु	राहु:	राहुः	राहु	राहुः
925	सः कः ऋषिः यः रामायणस्य अधिकांशघटनानां पूर्वं दर्शनम् अकरोत्?	वाल्मीकिः		वाल्मीकि	वाल्मीकिः	वाल्मीकिः	वाल्मीकि	वाल्मीकिः
926	विजयादशम्या पर्व कस्य मासस्य कस्यां तिथौ आचर्यते?	आश्विनशुक्लदशम्याम्		अश्विन मासात अमावास्या तिथ्यावर	आश्विन मासे शुक्ल पक्षस्य दशम्याम् तिथौ विजयादशम्या पर्व आचर्यते	आश्वयुजमासे, शुक्ल पक्षे	आश्विन मासस्य दशमी तिथौ	आश्वयुजस्य शुक्ल दशम्यां
927	श्रीरामेण सेतुबंधकाले रामेश्वरस्य स्थापनं मासस्य कस्यां तिथौ कृतम् आसीत्?	ज्येष्ठशुक्लदशम्याम्		मार्गशीर्षमासे पूर्णिमातिथौ	फाल्गुनस्य पौर्णिमायाम्	आषाढ़िका	पद्मनवमी	चैत्रमासस्य तृतीयायां तिथौ
928	शत्रुघ्नस्य जन्म कस्मिन् नक्षत्रे अभवत् ?	आश्लेषा		कृत्तिका	रेवती	अर्द्रा	पुष्य नक्षत्रे	अश्लेषा
929	का देवता 'काशीनाथः' कथ्यते?	शिवः		शिवः	शिवः	अग्नि	शिवः	शिवः
930	राज्ञः दशरथस्य मृत्युवृत्तान्तः भरताय केन उक्तः आसीत् ?	कैकेय्या		विश्वामित्रेण	शत्रुघ्नः	कैकेयीया्	कौशल्यया	वसिष्ठेन
931	राज्ञः दशरथस्य मृत्योरनन्तरं कस्यचित् राजपुत्रस्य अनुपस्थितेः कारणात्, तस्य शवः कस्मिन् तरलद्रव्ये निमज्य स्थापितः आसीत्?	तैले		गंगा नद्यां	मधु	शूर्पणखा	गङ्गायाम्	तैले
932	विश्वामित्रं 'महर्षिः' इति उपाधिना कः देवः विभूषितवान्?	ब्रह्मा		विष्णु	'ब्रह्मा'	इन्द्रः	रामः	ब्रह्मा
933	लवणासुरस्य वधाय श्रीरामः कम् प्रेषितवान्?	शत्रुघ्नम्		सीता	हनुमान्	हनुमान्	लवण	शत्रुघ्नम्
934	शुक्राचार्यस्य सर्वं शिल्पवैभवं प्राप्तुं मयासुरः कस्य तपः अकुरुत?	ब्रह्मणः		विश्वामित्राचार्यस्य	सर्वं शिल्पवैभवं प्राप्तुं मयासुरः **शुक्राचार्यस्य** तपः अकुरुत |	भानुः	इन्द्रस्य	शिवस्य
935	रावणस्य कस्मिन्नङ्गे अमृतमासीत्?	नाभौ		मूर्च्छिते	नाभि	सीतायाङ्गे	कर्णे	नाभौ
936	ऋक्षराजस्य वानरस्य जन्म ब्रह्मणः कस्मात् अङ्गात् जातः आसीत्?	नेत्रात्		वानरराजाने जन्म ब्रह्मदेवाच्या मुखातून झाला होता	शिरस:	क्षत्रियस्य	ऋक्षराजस्य जन्म ब्रह्मणः अङ्गात् जातः आसीत्	ऋक्षराजस्य वानरस्य जन्म ब्रह्मणः कर्णात् जातः आसीत्
937	कः वामनरूपं धृत्वा राजानं बलिनः त्रिपदपरिमितां भूमिं दानरूपेण याचितवान्?	विष्णुः		भृगु	विष्णुः	वामनः	वामनः	वामनः
938	श्रीरामेण सुग्रीवस्य परिचयः केन कारितः?	हनुमता		वानरराज वालि के पुत्र सुग्रीवस्य परिचयं श्रीरामेण कारितः	श्रीरामस्य सुग्रीवस्य परिचयः **हनुमता** कारितः	हनुमता	हनुमतेन	हनुमता
939	बर्बरजातीयाः जनाः महर्षेः वसिष्ठस्य धेनोः कस्मात् अङ्गात् अजायन्त?	ऊधसः		असुराः	शिरासः	वसिष्ठस्याः तेजसः	इन्द्रस्य अङ्गात्	उदरात्
940	श्रीरामाय ब्रह्मणः एषः संदेशः केन श्रावितः यत् तस्य (रामस्य) जीवनावधिः समाप्तः अस्ति, अतः स्वर्गलोकं प्रत्यागच्छतु?	कालः		वानरराज वाली	दूत-नामा-अत्र-अनित्यम्; कदाचित्, एषः कथनः हनुमान-कृतः अस्ति	वाल्मीकेन श्रावितः	भृगु	कालः
941	सुतीक्ष्णः मुनिः कस्य शिष्यः आसीत् ?	अगस्त्यस्य		विश्वामित्रः	विश्वामित्रः	वसिष्ठस्य	रामस्य	अगस्त्यस्य
